Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/18/2023 00:00,CAPITL,61757,34.20,1.00,-17.52
02/18/2023 00:00,CENTRL,61754,19.09,0.56,-2.85
02/18/2023 00:00,DUNWOD,61760,30.09,1.29,-13.12
02/18/2023 00:00,GENESE,61753,18.29,0.47,-2.15
02/18/2023 00:00,H Q,61844,15.19,-0.49,0.00
02/18/2023 00:00,HUD VL,61758,29.85,1.16,-13.01
02/18/2023 00:00,LONGIL,61762,31.99,1.65,-14.67
02/18/2023 00:00,MHK VL,61756,19.80,0.71,-3.42
02/18/2023 00:00,MILLWD,61759,30.17,1.27,-13.22
02/18/2023 00:00,N.Y.C.,61761,30.14,1.33,-13.13
02/18/2023 00:00,NORTH,61755,15.19,-0.49,0.00
02/18/2023 00:00,NPX,61845,32.03,0.94,-15.42
02/18/2023 00:00,O H,61846,18.40,0.16,-2.57
02/18/2023 00:00,PJM,61847,24.37,0.71,-7.98
02/18/2023 00:00,WEST,61752,18.86,0.39,-2.79
02/18/2023 01:00,CAPITL,61757,32.71,0.91,-17.43
02/18/2023 01:00,CENTRL,61754,17.71,0.50,-2.83
02/18/2023 01:00,DUNWOD,61760,28.58,1.15,-13.06
02/18/2023 01:00,GENESE,61753,16.87,0.36,-2.14
02/18/2023 01:00,H Q,61844,13.94,-0.43,0.00
02/18/2023 01:00,HUD VL,61758,28.35,1.04,-12.94
02/18/2023 01:00,LONGIL,61762,31.64,1.42,-15.84
02/18/2023 01:00,MHK VL,61756,18.44,0.66,-3.40
02/18/2023 01:00,MILLWD,61759,28.63,1.11,-13.15
02/18/2023 01:00,N.Y.C.,61761,28.59,1.15,-13.07
02/18/2023 01:00,NORTH,61755,13.94,-0.43,0.00
02/18/2023 01:00,NPX,61845,30.60,0.89,-15.33
02/18/2023 01:00,O H,61846,17.00,0.07,-2.55
02/18/2023 01:00,PJM,61847,22.91,0.59,-7.94
02/18/2023 01:00,WEST,61752,17.43,0.27,-2.78
02/18/2023 02:00,CAPITL,61757,31.79,0.80,-18.10
02/18/2023 02:00,CENTRL,61754,16.26,0.44,-2.94
02/18/2023 02:00,DUNWOD,61760,27.49,1.04,-13.56
02/18/2023 02:00,GENESE,61753,15.44,0.33,-2.22
02/18/2023 02:00,H Q,61844,12.50,-0.39,0.00
02/18/2023 02:00,HUD VL,61758,27.27,0.94,-13.44
02/18/2023 02:00,LONGIL,61762,30.23,1.34,-16.01
