Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/08/2023 00:00,CAPITL,61757,31.62,0.75,-15.61
02/08/2023 00:00,CENTRL,61754,17.39,0.02,-2.11
02/08/2023 00:00,DUNWOD,61760,26.90,1.24,-10.40
02/08/2023 00:00,GENESE,61753,16.17,-0.32,-1.23
02/08/2023 00:00,H Q,61844,15.00,-0.26,0.00
02/08/2023 00:00,HUD VL,61758,26.65,1.02,-10.37
02/08/2023 00:00,LONGIL,61762,36.94,1.59,-20.10
02/08/2023 00:00,MHK VL,61756,17.90,0.35,-2.29
02/08/2023 00:00,MILLWD,61759,26.90,1.16,-10.48
02/08/2023 00:00,N.Y.C.,61761,27.02,1.34,-10.41
02/08/2023 00:00,NORTH,61755,12.48,-0.34,2.45
02/08/2023 00:00,NPX,61845,30.69,0.79,-14.64
02/08/2023 00:00,O H,61846,14.50,-0.87,-0.11
02/08/2023 00:00,PJM,61847,20.83,0.09,-5.48
02/08/2023 00:00,WEST,61752,14.55,-0.79,-0.09
02/08/2023 01:00,CAPITL,61757,29.47,0.75,-13.46
02/08/2023 01:00,CENTRL,61754,17.12,0.00,-1.86
02/08/2023 01:00,DUNWOD,61760,25.47,1.24,-8.97
02/08/2023 01:00,GENESE,61753,15.95,-0.37,-1.06
02/08/2023 01:00,H Q,61844,15.00,-0.26,0.00
02/08/2023 01:00,HUD VL,61758,25.23,1.02,-8.94
02/08/2023 01:00,LONGIL,61762,35.16,1.60,-18.30
02/08/2023 01:00,MHK VL,61756,17.61,0.34,-2.01
02/08/2023 01:00,MILLWD,61759,25.45,1.15,-9.04
02/08/2023 01:00,N.Y.C.,61761,25.58,1.34,-8.98
02/08/2023 01:00,NORTH,61755,12.49,-0.32,2.45
02/08/2023 01:00,NPX,61845,29.76,0.81,-13.69
02/08/2023 01:00,O H,61846,14.31,-0.92,0.04
02/08/2023 01:00,PJM,61847,20.02,0.08,-4.68
02/08/2023 01:00,WEST,61752,14.29,-0.90,0.07
02/08/2023 02:00,CAPITL,61757,28.64,0.78,-12.59
02/08/2023 02:00,CENTRL,61754,17.08,0.02,-1.79
02/08/2023 02:00,DUNWOD,61760,25.27,1.21,-8.79
02/08/2023 02:00,GENESE,61753,15.92,-0.37,-1.02
02/08/2023 02:00,H Q,61844,15.00,-0.27,0.00
02/08/2023 02:00,HUD VL,61758,25.00,1.02,-8.70
02/08/2023 02:00,LONGIL,61762,32.14,1.59,-15.27
02/08/2023 02:00,MHK VL,61756,17.63,0.41,-1.94
02/08/2023 02:00,MILLWD,61759,25.25,1.13,-8.85
02/08/2023 02:00,N.Y.C.,61761,25.37,1.30,-8.79
02/08/2023 02:00,NORTH,61755,12.44,-0.38,2.45
02/08/2023 02:00,NPX,61845,26.80,0.92,-10.61
02/08/2023 02:00,O H,61846,14.27,-0.95,0.06
02/08/2023 02:00,PJM,61847,19.91,0.06,-4.58
02/08/2023 02:00,WEST,61752,14.25,-0.93,0.10
02/08/2023 03:00,CAPITL,61757,28.68,0.79,-12.59
02/08/2023 03:00,CENTRL,61754,17.30,0.06,-1.95
02/08/2023 03:00,DUNWOD,61760,25.30,1.22,-8.79
02/08/2023 03:00,GENESE,61753,16.00,-0.31,-1.02
02/08/2023 03:00,H Q,61844,15.00,-0.29,0.00
02/08/2023 03:00,HUD VL,61758,25.04,1.04,-8.70
02/08/2023 03:00,LONGIL,61762,32.82,1.64,-15.89
02/08/2023 03:00,MHK VL,61756,17.65,0.41,-1.94
02/08/2023 03:00,MILLWD,61759,25.30,1.16,-8.85
02/08/2023 03:00,N.Y.C.,61761,25.42,1.33,-8.80
02/08/2023 03:00,NORTH,61755,12.47,-0.37,2.45
02/08/2023 03:00,NPX,61845,26.85,0.95,-10.61
02/08/2023 03:00,O H,61846,13.90,-0.80,0.59
02/08/2023 03:00,PJM,61847,19.89,0.18,-4.41
02/08/2023 03:00,WEST,61752,13.98,-0.63,0.68
02/08/2023 04:00,CAPITL,61757,29.38,0.81,-13.26
02/08/2023 04:00,CENTRL,61754,17.30,0.08,-1.92
02/08/2023 04:00,DUNWOD,61760,25.77,1.21,-9.26
02/08/2023 04:00,GENESE,61753,16.16,-0.21,-1.07
02/08/2023 04:00,H Q,61844,15.00,-0.31,0.00
02/08/2023 04:00,HUD VL,61758,25.52,1.04,-9.17
02/08/2023 04:00,LONGIL,61762,35.24,1.67,-18.27
02/08/2023 04:00,MHK VL,61756,17.45,0.38,-1.76
02/08/2023 04:00,MILLWD,61759,25.79,1.16,-9.32
02/08/2023 04:00,N.Y.C.,61761,25.90,1.33,-9.26
02/08/2023 04:00,NORTH,61755,14.89,-0.41,0.00
02/08/2023 04:00,NPX,61845,27.42,0.93,-11.18
02/08/2023 04:00,O H,61846,14.41,-0.72,0.17
02/08/2023 04:00,PJM,61847,20.28,0.18,-4.79
02/08/2023 04:00,WEST,61752,14.46,-0.63,0.22
02/08/2023 05:00,CAPITL,61757,32.44,0.94,-14.04
02/08/2023 05:00,CENTRL,61754,19.98,0.23,-2.29
02/08/2023 05:00,DUNWOD,61760,28.69,1.43,-9.80
02/08/2023 05:00,GENESE,61753,18.49,-0.10,-1.13
02/08/2023 05:00,H Q,61844,16.60,-0.44,0.43
02/08/2023 05:00,HUD VL,61758,28.37,1.20,-9.70
02/08/2023 05:00,LONGIL,61762,39.24,1.96,-19.83
02/08/2023 05:00,MHK VL,61756,19.90,0.58,-1.86
02/08/2023 05:00,MILLWD,61759,28.67,1.34,-9.87
02/08/2023 05:00,N.Y.C.,61761,28.77,1.50,-9.81
02/08/2023 05:00,NORTH,61755,16.52,-0.58,0.37
02/08/2023 05:00,NPX,61845,30.39,1.10,-11.83
02/08/2023 05:00,O H,61846,16.35,-0.66,0.45
02/08/2023 05:00,PJM,61847,22.82,0.35,-5.01
02/08/2023 05:00,WEST,61752,16.37,-0.44,0.66
02/08/2023 06:00,CAPITL,61757,38.12,1.30,-12.35
02/08/2023 06:00,CENTRL,61754,28.04,0.46,-3.11
02/08/2023 06:00,DUNWOD,61760,35.10,2.01,-8.62
02/08/2023 06:00,GENESE,61753,25.15,-0.32,-1.00
02/08/2023 06:00,H Q,61844,23.13,-0.61,0.73
02/08/2023 06:00,HUD VL,61758,34.74,1.74,-8.54
02/08/2023 06:00,LONGIL,61762,49.45,2.84,-22.14
02/08/2023 06:00,MHK VL,61756,27.56,1.00,-2.08
02/08/2023 06:00,MILLWD,61759,35.01,1.86,-8.68
02/08/2023 06:00,N.Y.C.,61761,35.18,2.08,-8.63
02/08/2023 06:00,NORTH,61755,18.91,-0.83,4.73
02/08/2023 06:00,NPX,61845,36.42,1.54,-10.40
02/08/2023 06:00,O H,61846,20.12,-1.17,3.18
02/08/2023 06:00,PJM,61847,29.05,0.61,-3.97
02/08/2023 06:00,WEST,61752,20.84,-0.32,3.32
02/08/2023 07:00,CAPITL,61757,52.20,1.27,-26.52
02/08/2023 07:00,CENTRL,61754,29.81,0.51,-4.88
02/08/2023 07:00,DUNWOD,61760,45.02,2.10,-18.50
02/08/2023 07:00,GENESE,61753,26.48,-0.07,-2.14
02/08/2023 07:00,H Q,61844,22.76,-0.66,1.00
02/08/2023 07:00,HUD VL,61758,44.55,1.81,-18.33
02/08/2023 07:00,LONGIL,61762,80.52,2.93,-53.18
02/08/2023 07:00,MHK VL,61756,29.43,1.05,-3.96
02/08/2023 07:00,MILLWD,61759,45.08,2.03,-18.64
02/08/2023 07:00,N.Y.C.,61761,45.16,2.22,-18.52
02/08/2023 07:00,NORTH,61755,18.63,-0.88,4.91
02/08/2023 07:00,NPX,61845,48.35,1.59,-22.34
