Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/06/2023 00:00,CAPITL,61757,55.79,1.06,-35.86
02/06/2023 00:00,CENTRL,61754,22.74,-0.13,-4.01
02/06/2023 00:00,DUNWOD,61760,45.10,1.23,-25.01
02/06/2023 00:00,GENESE,61753,21.50,-0.45,-3.09
02/06/2023 00:00,H Q,61844,18.68,-0.19,0.00
02/06/2023 00:00,HUD VL,61758,44.63,1.04,-24.73
02/06/2023 00:00,LONGIL,61762,61.90,1.81,-41.22
02/06/2023 00:00,MHK VL,61756,24.39,0.53,-5.00
02/06/2023 00:00,MILLWD,61759,45.22,1.15,-25.20
02/06/2023 00:00,N.Y.C.,61761,45.18,1.28,-25.03
02/06/2023 00:00,NORTH,61755,19.00,0.13,0.00
02/06/2023 00:00,NPX,61845,50.09,1.04,-30.19
02/06/2023 00:00,O H,61846,21.47,-1.07,-3.68
02/06/2023 00:00,PJM,61847,33.00,-0.11,-14.25
02/06/2023 00:00,WEST,61752,21.86,-1.00,-3.99
02/06/2023 01:00,CAPITL,61757,64.27,0.89,-46.50
02/06/2023 01:00,CENTRL,61754,21.89,-0.19,-5.19
02/06/2023 01:00,DUNWOD,61760,50.37,1.06,-32.43
02/06/2023 01:00,GENESE,61753,20.33,-0.56,-4.00
02/06/2023 01:00,H Q,61844,16.75,-0.14,0.00
02/06/2023 01:00,HUD VL,61758,49.85,0.91,-32.06
02/06/2023 01:00,LONGIL,61762,58.52,1.55,-40.08
02/06/2023 01:00,MHK VL,61756,23.82,0.46,-6.48
02/06/2023 01:00,MILLWD,61759,50.55,1.00,-32.67
02/06/2023 01:00,N.Y.C.,61761,50.40,1.06,-32.45
02/06/2023 01:00,NORTH,61755,17.12,0.24,0.00
02/06/2023 01:00,NPX,61845,56.90,0.88,-39.14
02/06/2023 01:00,O H,61846,20.45,-1.20,-4.76
02/06/2023 01:00,PJM,61847,35.08,-0.22,-18.42
02/06/2023 01:00,WEST,61752,20.92,-1.13,-5.17
02/06/2023 02:00,CAPITL,61757,62.71,0.86,-46.01
02/06/2023 02:00,CENTRL,61754,20.84,-0.14,-5.14
02/06/2023 02:00,DUNWOD,61760,48.85,0.92,-32.09
02/06/2023 02:00,GENESE,61753,19.30,-0.51,-3.96
02/06/2023 02:00,H Q,61844,15.71,-0.14,0.00
02/06/2023 02:00,HUD VL,61758,48.36,0.79,-31.72
02/06/2023 02:00,LONGIL,61762,54.24,1.40,-37.00
02/06/2023 02:00,MHK VL,61756,22.67,0.41,-6.41
02/06/2023 02:00,MILLWD,61759,49.05,0.87,-32.33
02/06/2023 02:00,N.Y.C.,61761,48.87,0.90,-32.11
02/06/2023 02:00,NORTH,61755,16.01,0.16,0.00
02/06/2023 02:00,NPX,61845,55.39,0.81,-38.73
02/06/2023 02:00,O H,61846,19.53,-1.03,-4.72
02/06/2023 02:00,PJM,61847,33.93,-0.19,-18.28
02/06/2023 02:00,WEST,61752,20.00,-0.97,-5.12
02/06/2023 03:00,CAPITL,61757,61.94,0.89,-44.56
02/06/2023 03:00,CENTRL,61754,21.30,-0.16,-4.98
02/06/2023 03:00,DUNWOD,61760,48.50,0.94,-31.08
02/06/2023 03:00,GENESE,61753,19.79,-0.53,-3.83
02/06/2023 03:00,H Q,61844,16.36,-0.13,0.00
02/06/2023 03:00,HUD VL,61758,48.04,0.82,-30.72
02/06/2023 03:00,LONGIL,61762,54.96,1.45,-37.02
02/06/2023 03:00,MHK VL,61756,23.11,0.41,-6.21
02/06/2023 03:00,MILLWD,61759,48.71,0.91,-31.31
02/06/2023 03:00,N.Y.C.,61761,48.51,0.92,-31.10
02/06/2023 03:00,NORTH,61755,16.69,0.20,0.00
02/06/2023 03:00,NPX,61845,54.84,0.84,-37.51
02/06/2023 03:00,O H,61846,20.00,-1.06,-4.57
02/06/2023 03:00,PJM,61847,34.01,-0.18,-17.70
02/06/2023 03:00,WEST,61752,20.47,-0.97,-4.96
