Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/16/2023 00:00,CAPITL,61757,27.27,0.26,-22.10
02/16/2023 00:00,CENTRL,61754,8.60,0.11,-3.57
02/16/2023 00:00,DUNWOD,61760,21.77,0.45,-16.40
02/16/2023 00:00,GENESE,61753,7.66,0.06,-2.68
02/16/2023 00:00,H Q,61844,4.00,-0.12,0.79
02/16/2023 00:00,HUD VL,61758,21.62,0.37,-16.34
02/16/2023 00:00,LONGIL,61762,25.09,0.57,-19.60
02/16/2023 00:00,MHK VL,61756,8.79,0.19,-3.69
02/16/2023 00:00,MILLWD,61759,21.91,0.42,-16.57
02/16/2023 00:00,N.Y.C.,61761,21.83,0.50,-16.42
02/16/2023 00:00,NORTH,61755,0.72,-0.21,3.98
02/16/2023 00:00,NPX,61845,24.65,0.30,-19.43
02/16/2023 00:00,O H,61846,8.08,-0.02,-3.19
02/16/2023 00:00,PJM,61847,15.07,0.20,-9.96
02/16/2023 00:00,WEST,61752,8.38,0.00,-3.47
02/16/2023 01:00,CAPITL,61757,23.79,0.25,-18.72
02/16/2023 01:00,CENTRL,61754,7.95,0.11,-3.02
02/16/2023 01:00,DUNWOD,61760,19.13,0.42,-13.89
02/16/2023 01:00,GENESE,61753,7.15,0.06,-2.27
02/16/2023 01:00,H Q,61844,4.00,-0.12,0.71
02/16/2023 01:00,HUD VL,61758,19.01,0.35,-13.83
02/16/2023 01:00,LONGIL,61762,22.36,0.54,-17.00
02/16/2023 01:00,MHK VL,61756,8.12,0.18,-3.11
02/16/2023 01:00,MILLWD,61759,19.25,0.40,-14.03
02/16/2023 01:00,N.Y.C.,61761,19.19,0.46,-13.90
02/16/2023 01:00,NORTH,61755,1.00,-0.20,3.63
02/16/2023 01:00,NPX,61845,21.58,0.30,-16.45
02/16/2023 01:00,O H,61846,7.50,-0.02,-2.70
02/16/2023 01:00,PJM,61847,13.43,0.18,-8.43
02/16/2023 01:00,WEST,61752,7.76,0.00,-2.94
02/16/2023 02:00,CAPITL,61757,23.21,0.24,-18.46
02/16/2023 02:00,CENTRL,61754,7.60,0.10,-2.98
02/16/2023 02:00,DUNWOD,61760,18.73,0.38,-13.83
02/16/2023 02:00,GENESE,61753,6.81,0.06,-2.24
02/16/2023 02:00,H Q,61844,3.76,-0.11,0.64
02/16/2023 02:00,HUD VL,61758,18.54,0.33,-13.70
02/16/2023 02:00,LONGIL,61762,21.06,0.51,-16.04
02/16/2023 02:00,MHK VL,61756,7.82,0.17,-3.13
02/16/2023 02:00,MILLWD,61759,18.81,0.37,-13.93
02/16/2023 02:00,N.Y.C.,61761,18.79,0.43,-13.84
02/16/2023 02:00,NORTH,61755,1.00,-0.19,3.32
02/16/2023 02:00,NPX,61845,21.00,0.28,-16.21
02/16/2023 02:00,O H,61846,7.17,-0.01,-2.66
02/16/2023 02:00,PJM,61847,13.06,0.17,-8.37
02/16/2023 02:00,WEST,61752,7.42,0.01,-2.89
02/16/2023 03:00,CAPITL,61757,23.17,0.25,-18.19
02/16/2023 03:00,CENTRL,61754,7.79,0.12,-2.94
02/16/2023 03:00,DUNWOD,61760,18.77,0.41,-13.63
02/16/2023 03:00,GENESE,61753,7.02,0.08,-2.21
02/16/2023 03:00,H Q,61844,4.00,-0.12,0.61
02/16/2023 03:00,HUD VL,61758,18.58,0.35,-13.50
02/16/2023 03:00,LONGIL,61762,20.96,0.53,-15.70
02/16/2023 03:00,MHK VL,61756,8.02,0.18,-3.11
02/16/2023 03:00,MILLWD,61759,18.85,0.39,-13.73
02/16/2023 03:00,N.Y.C.,61761,18.82,0.44,-13.64
02/16/2023 03:00,NORTH,61755,1.32,-0.21,3.20
02/16/2023 03:00,NPX,61845,21.00,0.30,-15.97
02/16/2023 03:00,O H,61846,7.37,0.01,-2.63
02/16/2023 03:00,PJM,61847,13.18,0.19,-8.25
02/16/2023 03:00,WEST,61752,7.63,0.05,-2.85
02/16/2023 04:00,CAPITL,61757,23.02,0.31,-17.01
02/16/2023 04:00,CENTRL,61754,8.63,0.19,-2.75
02/16/2023 04:00,DUNWOD,61760,18.94,0.49,-12.75
02/16/2023 04:00,GENESE,61753,7.91,0.15,-2.07
02/16/2023 04:00,H Q,61844,5.04,-0.17,0.49
02/16/2023 04:00,HUD VL,61758,18.74,0.42,-12.63
02/16/2023 04:00,LONGIL,61762,22.19,0.64,-15.85
02/16/2023 04:00,MHK VL,61756,8.92,0.24,-2.98
02/16/2023 04:00,MILLWD,61759,18.99,0.46,-12.84
02/16/2023 04:00,N.Y.C.,61761,18.99,0.54,-12.76
02/16/2023 04:00,NORTH,61755,2.55,-0.28,2.87
02/16/2023 04:00,NPX,61845,21.00,0.36,-14.94
02/16/2023 04:00,O H,61846,8.24,0.09,-2.46
02/16/2023 04:00,PJM,61847,13.68,0.26,-7.72
02/16/2023 04:00,WEST,61752,8.50,0.14,-2.67
