Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/23/2023 00:00,CAPITL,61757,22.64,1.24,0.00
02/23/2023 00:00,CENTRL,61754,21.53,0.11,-0.02
02/23/2023 00:00,DUNWOD,61760,23.05,1.65,0.00
02/23/2023 00:00,GENESE,61753,20.95,-0.45,0.00
02/23/2023 00:00,H Q,61844,21.06,-0.34,0.00
02/23/2023 00:00,HUD VL,61758,22.96,1.56,0.00
02/23/2023 00:00,LONGIL,61762,23.50,2.10,0.00
02/23/2023 00:00,MHK VL,61756,22.30,0.90,0.00
02/23/2023 00:00,MILLWD,61759,23.05,1.65,0.00
02/23/2023 00:00,N.Y.C.,61761,23.14,1.73,0.00
02/23/2023 00:00,NORTH,61755,21.40,0.00,0.00
02/23/2023 00:00,NPX,61845,22.75,1.35,0.00
02/23/2023 00:00,O H,61846,20.06,-1.31,0.04
02/23/2023 00:00,PJM,61847,21.65,0.26,0.01
02/23/2023 00:00,WEST,61752,20.29,-1.07,0.04
02/23/2023 01:00,CAPITL,61757,22.10,1.11,0.00
02/23/2023 01:00,CENTRL,61754,20.95,-0.04,0.00
02/23/2023 01:00,DUNWOD,61760,22.48,1.49,0.00
02/23/2023 01:00,GENESE,61753,20.30,-0.69,0.00
02/23/2023 01:00,H Q,61844,20.74,-0.25,0.00
02/23/2023 01:00,HUD VL,61758,22.39,1.41,0.00
02/23/2023 01:00,LONGIL,61762,23.18,1.93,-0.26
02/23/2023 01:00,MHK VL,61756,21.79,0.80,0.00
02/23/2023 01:00,MILLWD,61759,22.43,1.45,0.00
02/23/2023 01:00,N.Y.C.,61761,22.52,1.53,0.00
02/23/2023 01:00,NORTH,61755,21.05,0.06,0.00
02/23/2023 01:00,NPX,61845,22.23,1.24,0.00
02/23/2023 01:00,O H,61846,19.44,-1.55,0.00
02/23/2023 01:00,PJM,61847,21.03,0.04,0.00
02/23/2023 01:00,WEST,61752,19.64,-1.34,0.00
02/23/2023 02:00,CAPITL,61757,21.62,1.07,0.00
02/23/2023 02:00,CENTRL,61754,20.56,0.00,0.00
02/23/2023 02:00,DUNWOD,61760,21.93,1.38,0.00
02/23/2023 02:00,GENESE,61753,19.96,-0.60,0.00
02/23/2023 02:00,H Q,61844,20.33,-0.23,0.00
02/23/2023 02:00,HUD VL,61758,21.85,1.30,0.00
02/23/2023 02:00,LONGIL,61762,22.24,1.69,0.00
02/23/2023 02:00,MHK VL,61756,21.32,0.76,0.00
02/23/2023 02:00,MILLWD,61759,21.91,1.36,0.00
02/23/2023 02:00,N.Y.C.,61761,22.00,1.44,0.00
02/23/2023 02:00,NORTH,61755,20.64,0.08,0.00
02/23/2023 02:00,NPX,61845,21.73,1.17,0.00
02/23/2023 02:00,O H,61846,19.16,-1.40,0.00
02/23/2023 02:00,PJM,61847,20.60,0.04,0.00
02/23/2023 02:00,WEST,61752,19.39,-1.17,0.00
02/23/2023 03:00,CAPITL,61757,21.33,1.05,0.00
02/23/2023 03:00,CENTRL,61754,20.29,0.02,0.00
02/23/2023 03:00,DUNWOD,61760,21.59,1.32,0.00
02/23/2023 03:00,GENESE,61753,19.69,-0.59,0.00
02/23/2023 03:00,H Q,61844,20.05,-0.22,0.00
02/23/2023 03:00,HUD VL,61758,21.53,1.26,0.00
02/23/2023 03:00,LONGIL,61762,21.92,1.64,0.00
02/23/2023 03:00,MHK VL,61756,21.00,0.73,0.00
02/23/2023 03:00,MILLWD,61759,21.57,1.30,0.00
02/23/2023 03:00,N.Y.C.,61761,21.61,1.34,0.00
02/23/2023 03:00,NORTH,61755,20.38,0.10,0.00
02/23/2023 03:00,NPX,61845,21.41,1.13,0.00
02/23/2023 03:00,O H,61846,18.92,-1.36,0.00
02/23/2023 03:00,PJM,61847,20.34,0.06,0.00
02/23/2023 03:00,WEST,61752,19.16,-1.12,0.00
02/23/2023 04:00,CAPITL,61757,22.21,1.06,0.00
02/23/2023 04:00,CENTRL,61754,21.36,0.21,0.00
02/23/2023 04:00,DUNWOD,61760,22.38,1.23,0.00
02/23/2023 04:00,GENESE,61753,20.94,-0.21,0.00
02/23/2023 04:00,H Q,61844,20.92,-0.23,0.00
02/23/2023 04:00,HUD VL,61758,22.31,1.16,0.00
02/23/2023 04:00,LONGIL,61762,22.71,1.57,0.00
02/23/2023 04:00,MHK VL,61756,21.95,0.80,0.00
02/23/2023 04:00,MILLWD,61759,22.31,1.16,0.00
02/23/2023 04:00,N.Y.C.,61761,22.33,1.18,0.00
02/23/2023 04:00,NORTH,61755,21.28,0.13,0.00
02/23/2023 04:00,NPX,61845,22.23,1.08,0.00
02/23/2023 04:00,O H,61846,20.32,-0.83,0.00
02/23/2023 04:00,PJM,61847,21.34,0.19,0.00
02/23/2023 04:00,WEST,61752,20.54,-0.61,0.00
02/23/2023 05:00,CAPITL,61757,24.28,1.27,0.00
02/23/2023 05:00,CENTRL,61754,23.36,0.35,0.00
02/23/2023 05:00,DUNWOD,61760,24.47,1.45,0.00
02/23/2023 05:00,GENESE,61753,23.00,-0.02,0.00
02/23/2023 05:00,H Q,61844,22.72,-0.30,0.00
02/23/2023 05:00,HUD VL,61758,24.42,1.40,0.00
02/23/2023 05:00,LONGIL,61762,27.35,1.98,-2.35
02/23/2023 05:00,MHK VL,61756,23.99,0.97,0.00
02/23/2023 05:00,MILLWD,61759,24.45,1.43,0.00
02/23/2023 05:00,N.Y.C.,61761,24.40,1.38,0.00
02/23/2023 05:00,NORTH,61755,23.07,0.05,0.00
02/23/2023 05:00,NPX,61845,24.26,1.24,0.00
02/23/2023 05:00,O H,61846,22.35,-0.67,0.00
02/23/2023 05:00,PJM,61847,23.39,0.37,0.00
02/23/2023 05:00,WEST,61752,22.65,-0.37,0.00
02/23/2023 06:00,CAPITL,61757,30.14,1.27,0.00
02/23/2023 06:00,CENTRL,61754,29.28,0.40,0.00
02/23/2023 06:00,DUNWOD,61760,30.23,1.36,0.00
02/23/2023 06:00,GENESE,61753,28.73,-0.14,0.00
02/23/2023 06:00,H Q,61844,28.73,-0.14,0.00
02/23/2023 06:00,HUD VL,61758,30.17,1.30,0.00
02/23/2023 06:00,LONGIL,61762,35.34,2.02,-4.44
02/23/2023 06:00,MHK VL,61756,30.00,1.12,0.00
02/23/2023 06:00,MILLWD,61759,30.17,1.30,0.00
02/23/2023 06:00,N.Y.C.,61761,30.08,1.21,0.00
02/23/2023 06:00,NORTH,61755,29.16,0.29,0.00
02/23/2023 06:00,NPX,61845,29.97,1.10,0.00
02/23/2023 06:00,O H,61846,27.78,-1.10,0.00
02/23/2023 06:00,PJM,61847,29.05,0.17,0.00
02/23/2023 06:00,WEST,61752,28.27,-0.61,0.00
02/23/2023 07:00,CAPITL,61757,33.07,1.43,0.00
02/23/2023 07:00,CENTRL,61754,31.83,0.19,0.00
02/23/2023 07:00,DUNWOD,61760,33.19,1.55,0.00
02/23/2023 07:00,GENESE,61753,31.13,-0.51,0.00
02/23/2023 07:00,H Q,61844,33.24,-0.06,-1.66
02/23/2023 07:00,HUD VL,61758,33.13,1.49,0.00
02/23/2023 07:00,LONGIL,61762,36.45,2.28,-2.53
02/23/2023 07:00,MHK VL,61756,32.87,1.23,0.00
02/23/2023 07:00,MILLWD,61759,33.13,1.49,0.00
02/23/2023 07:00,N.Y.C.,61761,33.16,1.52,0.00
02/23/2023 07:00,NORTH,61755,32.21,0.57,0.00
02/23/2023 07:00,NPX,61845,34.47,1.17,-1.66
02/23/2023 07:00,O H,61846,31.47,-1.84,-1.66
02/23/2023 07:00,PJM,61847,33.21,-0.09,-1.66
02/23/2023 07:00,WEST,61752,30.44,-1.20,0.00
02/23/2023 08:00,CAPITL,61757,35.64,1.73,0.00
02/23/2023 08:00,CENTRL,61754,34.11,0.20,0.00
02/23/2023 08:00,DUNWOD,61760,35.88,1.97,0.00
02/23/2023 08:00,GENESE,61753,33.54,-0.37,0.00
02/23/2023 08:00,H Q,61844,32.15,-0.10,1.66
02/23/2023 08:00,HUD VL,61758,35.74,1.83,0.00
02/23/2023 08:00,LONGIL,61762,36.38,2.47,0.00
02/23/2023 08:00,MHK VL,61756,35.54,1.63,0.00
02/23/2023 08:00,MILLWD,61759,35.81,1.90,0.00
02/23/2023 08:00,N.Y.C.,61761,35.87,1.97,0.00
02/23/2023 08:00,NORTH,61755,34.32,0.41,0.00
02/23/2023 08:00,NPX,61845,38.82,1.22,-3.69
02/23/2023 08:00,O H,61846,30.55,-1.69,1.66
02/23/2023 08:00,PJM,61847,32.35,0.10,1.66
02/23/2023 08:00,WEST,61752,33.03,-0.88,0.00
02/23/2023 09:00,CAPITL,61757,36.11,1.69,0.00
02/23/2023 09:00,CENTRL,61754,34.60,0.17,0.00
02/23/2023 09:00,DUNWOD,61760,36.39,1.96,0.00
02/23/2023 09:00,GENESE,61753,34.12,-0.31,0.00
02/23/2023 09:00,H Q,61844,34.36,-0.07,0.00
02/23/2023 09:00,HUD VL,61758,36.18,1.75,0.00
02/23/2023 09:00,LONGIL,61762,36.77,2.34,0.00
02/23/2023 09:00,MHK VL,61756,36.01,1.58,0.00
02/23/2023 09:00,MILLWD,61759,36.25,1.82,0.00
02/23/2023 09:00,N.Y.C.,61761,36.39,1.96,0.00
02/23/2023 09:00,NORTH,61755,34.87,0.45,0.00
02/23/2023 09:00,NPX,61845,39.50,1.20,-3.87
02/23/2023 09:00,O H,61846,32.78,-1.65,0.00
02/23/2023 09:00,PJM,61847,34.50,0.07,0.00
02/23/2023 09:00,WEST,61752,33.67,-0.76,0.00
02/23/2023 10:00,CAPITL,61757,32.64,1.52,0.00
02/23/2023 10:00,CENTRL,61754,31.36,0.25,0.00
02/23/2023 10:00,DUNWOD,61760,32.67,1.56,0.00
02/23/2023 10:00,GENESE,61753,30.99,-0.12,0.00
