Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/14/2023 00:00,CAPITL,61757,28.02,0.54,-16.54
02/14/2023 00:00,CENTRL,61754,13.86,0.26,-2.66
02/14/2023 00:00,DUNWOD,61760,24.23,1.00,-12.29
02/14/2023 00:00,GENESE,61753,13.17,0.20,-2.03
02/14/2023 00:00,H Q,61844,10.67,-0.27,0.00
02/14/2023 00:00,HUD VL,61758,24.06,0.88,-12.24
02/14/2023 00:00,LONGIL,61762,28.44,1.30,-16.19
02/14/2023 00:00,MHK VL,61756,14.49,0.41,-3.13
02/14/2023 00:00,MILLWD,61759,24.36,1.00,-12.42
02/14/2023 00:00,N.Y.C.,61761,24.33,1.08,-12.30
02/14/2023 00:00,NORTH,61755,10.64,-0.31,0.00
02/14/2023 00:00,NPX,61845,26.17,0.66,-14.57
02/14/2023 00:00,O H,61846,13.37,0.00,-2.42
02/14/2023 00:00,PJM,61847,18.91,0.47,-7.49
02/14/2023 00:00,WEST,61752,13.67,0.09,-2.64
02/14/2023 01:00,CAPITL,61757,27.56,0.42,-18.25
02/14/2023 01:00,CENTRL,61754,12.06,0.24,-2.93
02/14/2023 01:00,DUNWOD,61760,23.25,0.80,-13.56
02/14/2023 01:00,GENESE,61753,11.31,0.19,-2.24
02/14/2023 01:00,H Q,61844,8.66,-0.23,0.00
02/14/2023 01:00,HUD VL,61758,23.09,0.69,-13.51
02/14/2023 01:00,LONGIL,61762,26.10,1.03,-16.18
02/14/2023 01:00,MHK VL,61756,12.70,0.35,-3.46
02/14/2023 01:00,MILLWD,61759,23.37,0.77,-13.70
02/14/2023 01:00,N.Y.C.,61761,23.31,0.85,-13.57
02/14/2023 01:00,NORTH,61755,8.60,-0.29,0.00
02/14/2023 01:00,NPX,61845,25.50,0.53,-16.08
02/14/2023 01:00,O H,61846,11.61,0.04,-2.67
02/14/2023 01:00,PJM,61847,17.55,0.39,-8.27
02/14/2023 01:00,WEST,61752,11.92,0.12,-2.91
02/14/2023 02:00,CAPITL,61757,26.65,0.50,-15.70
02/14/2023 02:00,CENTRL,61754,13.28,0.31,-2.52
02/14/2023 02:00,DUNWOD,61760,23.03,0.92,-11.66
02/14/2023 02:00,GENESE,61753,12.63,0.26,-1.92
02/14/2023 02:00,H Q,61844,10.16,-0.29,0.00
02/14/2023 02:00,HUD VL,61758,22.87,0.80,-11.62
02/14/2023 02:00,LONGIL,61762,24.33,1.19,-12.69
02/14/2023 02:00,MHK VL,61756,13.85,0.43,-2.98
02/14/2023 02:00,MILLWD,61759,23.14,0.90,-11.79
02/14/2023 02:00,N.Y.C.,61761,23.10,0.97,-11.68
02/14/2023 02:00,NORTH,61755,10.02,-0.43,0.00
02/14/2023 02:00,NPX,61845,24.91,0.63,-13.83
02/14/2023 02:00,O H,61846,12.85,0.10,-2.30
02/14/2023 02:00,PJM,61847,18.05,0.48,-7.12
02/14/2023 02:00,WEST,61752,13.14,0.19,-2.51
02/14/2023 03:00,CAPITL,61757,27.30,0.54,-16.00
02/14/2023 03:00,CENTRL,61754,13.68,0.34,-2.57
02/14/2023 03:00,DUNWOD,61760,23.57,0.93,-11.89
02/14/2023 03:00,GENESE,61753,13.03,0.31,-1.96
02/14/2023 03:00,H Q,61844,10.46,-0.30,0.00
02/14/2023 03:00,HUD VL,61758,23.42,0.82,-11.84
02/14/2023 03:00,LONGIL,61762,25.93,1.25,-13.92
02/14/2023 03:00,MHK VL,61756,14.19,0.40,-3.03
02/14/2023 03:00,MILLWD,61759,23.69,0.91,-12.01
02/14/2023 03:00,N.Y.C.,61761,23.64,0.98,-11.90
02/14/2023 03:00,NORTH,61755,10.31,-0.45,0.00
02/14/2023 03:00,NPX,61845,25.51,0.66,-14.09
02/14/2023 03:00,O H,61846,13.27,0.16,-2.34
02/14/2023 03:00,PJM,61847,18.52,0.51,-7.25
02/14/2023 03:00,WEST,61752,13.57,0.26,-2.55
02/14/2023 04:00,CAPITL,61757,27.30,0.61,-14.56
02/14/2023 04:00,CENTRL,61754,14.87,0.40,-2.34
02/14/2023 04:00,DUNWOD,61760,24.04,1.09,-10.82
02/14/2023 04:00,GENESE,61753,14.27,0.35,-1.78
02/14/2023 04:00,H Q,61844,11.78,-0.35,0.00
02/14/2023 04:00,HUD VL,61758,23.86,0.95,-10.78
