Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/22/2023 00:00,CAPITL,61757,22.12,1.24,-0.22
02/22/2023 00:00,CENTRL,61754,21.08,0.39,-0.02
02/22/2023 00:00,DUNWOD,61760,22.72,1.90,-0.16
02/22/2023 00:00,GENESE,61753,20.91,0.23,-0.02
02/22/2023 00:00,H Q,61844,17.41,-0.60,2.65
02/22/2023 00:00,HUD VL,61758,22.52,1.69,-0.16
02/22/2023 00:00,LONGIL,61762,24.59,2.38,-1.55
02/22/2023 00:00,MHK VL,61756,20.35,0.83,1.14
02/22/2023 00:00,MILLWD,61759,22.66,1.84,-0.16
02/22/2023 00:00,N.Y.C.,61761,22.87,2.05,-0.16
02/22/2023 00:00,NORTH,61755,5.43,-0.97,14.26
02/22/2023 00:00,NPX,61845,22.28,1.42,-0.19
02/22/2023 00:00,O H,61846,20.54,-0.14,-0.02
02/22/2023 00:00,PJM,61847,21.60,0.85,-0.09
02/22/2023 00:00,WEST,61752,20.87,0.19,-0.02
02/22/2023 01:00,CAPITL,61757,21.63,1.20,0.00
02/22/2023 01:00,CENTRL,61754,20.85,0.43,0.00
02/22/2023 01:00,DUNWOD,61760,22.28,1.86,0.00
02/22/2023 01:00,GENESE,61753,20.69,0.26,0.00
02/22/2023 01:00,H Q,61844,19.44,-0.61,0.37
02/22/2023 01:00,HUD VL,61758,22.10,1.67,0.00
02/22/2023 01:00,LONGIL,61762,23.77,2.31,-1.04
02/22/2023 01:00,MHK VL,61756,21.26,0.82,-0.02
02/22/2023 01:00,MILLWD,61759,22.22,1.80,0.00
02/22/2023 01:00,N.Y.C.,61761,22.40,1.98,0.00
02/22/2023 01:00,NORTH,61755,14.64,-1.00,4.78
02/22/2023 01:00,NPX,61845,21.83,1.41,0.00
02/22/2023 01:00,O H,61846,20.38,-0.04,0.00
02/22/2023 01:00,PJM,61847,21.28,0.86,0.00
02/22/2023 01:00,WEST,61752,20.71,0.29,0.00
02/22/2023 02:00,CAPITL,61757,20.94,1.17,0.00
02/22/2023 02:00,CENTRL,61754,20.22,0.46,0.00
02/22/2023 02:00,DUNWOD,61760,21.53,1.76,0.00
02/22/2023 02:00,GENESE,61753,20.07,0.30,0.00
02/22/2023 02:00,H Q,61844,19.18,-0.59,0.00
02/22/2023 02:00,HUD VL,61758,21.35,1.58,0.00
02/22/2023 02:00,LONGIL,61762,21.96,2.19,0.00
02/22/2023 02:00,MHK VL,61756,20.56,0.79,0.00
02/22/2023 02:00,MILLWD,61759,21.45,1.68,0.00
02/22/2023 02:00,N.Y.C.,61761,21.61,1.84,0.00
02/22/2023 02:00,NORTH,61755,18.79,-0.97,0.01
02/22/2023 02:00,NPX,61845,21.09,1.32,0.00
02/22/2023 02:00,O H,61846,19.79,0.02,0.00
02/22/2023 02:00,PJM,61847,20.60,0.83,0.00
02/22/2023 02:00,WEST,61752,20.13,0.36,0.00
02/22/2023 03:00,CAPITL,61757,21.64,1.13,0.00
02/22/2023 03:00,CENTRL,61754,21.05,0.53,0.00
02/22/2023 03:00,DUNWOD,61760,22.24,1.72,0.00
02/22/2023 03:00,GENESE,61753,21.01,0.49,0.00
02/22/2023 03:00,H Q,61844,19.92,-0.60,0.00
02/22/2023 03:00,HUD VL,61758,22.08,1.56,0.00
02/22/2023 03:00,LONGIL,61762,22.69,2.17,0.00
02/22/2023 03:00,MHK VL,61756,21.40,0.88,0.00
02/22/2023 03:00,MILLWD,61759,22.18,1.66,0.00
02/22/2023 03:00,N.Y.C.,61761,22.32,1.81,0.00
02/22/2023 03:00,NORTH,61755,19.61,-0.90,0.00
02/22/2023 03:00,NPX,61845,21.81,1.29,0.00
02/22/2023 03:00,O H,61846,20.72,0.21,0.00
02/22/2023 03:00,PJM,61847,21.40,0.88,0.00
02/22/2023 03:00,WEST,61752,21.07,0.55,0.00
02/22/2023 04:00,CAPITL,61757,22.15,1.11,0.00
02/22/2023 04:00,CENTRL,61754,21.65,0.61,0.00
02/22/2023 04:00,DUNWOD,61760,22.68,1.64,0.00
02/22/2023 04:00,GENESE,61753,21.62,0.59,0.00
02/22/2023 04:00,H Q,61844,20.45,-0.59,0.00
02/22/2023 04:00,HUD VL,61758,22.55,1.52,0.00
02/22/2023 04:00,LONGIL,61762,24.73,2.12,-1.57
02/22/2023 04:00,MHK VL,61756,21.98,0.95,0.00
02/22/2023 04:00,MILLWD,61759,22.61,1.58,0.00
02/22/2023 04:00,N.Y.C.,61761,22.74,1.70,0.00
02/22/2023 04:00,NORTH,61755,20.24,-0.80,0.00
02/22/2023 04:00,NPX,61845,22.28,1.24,0.00
02/22/2023 04:00,O H,61846,21.35,0.32,0.00
02/22/2023 04:00,PJM,61847,21.94,0.90,0.00
02/22/2023 04:00,WEST,61752,21.73,0.69,0.00
02/22/2023 05:00,CAPITL,61757,24.21,1.28,0.00
02/22/2023 05:00,CENTRL,61754,23.55,0.62,0.00
02/22/2023 05:00,DUNWOD,61760,24.86,1.93,0.00
02/22/2023 05:00,GENESE,61753,23.43,0.50,0.00
02/22/2023 05:00,H Q,61844,22.26,-0.67,0.00
02/22/2023 05:00,HUD VL,61758,24.70,1.77,0.00
02/22/2023 05:00,LONGIL,61762,30.36,2.41,-5.02
02/22/2023 05:00,MHK VL,61756,23.96,1.03,0.00
02/22/2023 05:00,MILLWD,61759,24.76,1.84,0.00
02/22/2023 05:00,N.Y.C.,61761,24.88,1.95,0.00
02/22/2023 05:00,NORTH,61755,22.13,-0.80,0.00
02/22/2023 05:00,NPX,61845,24.35,1.42,0.00
02/22/2023 05:00,O H,61846,23.02,0.09,0.00
02/22/2023 05:00,PJM,61847,23.87,0.94,0.00
02/22/2023 05:00,WEST,61752,23.48,0.55,0.00
02/22/2023 06:00,CAPITL,61757,31.88,1.78,0.00
02/22/2023 06:00,CENTRL,61754,31.04,0.93,0.00
02/22/2023 06:00,DUNWOD,61760,32.81,2.71,0.00
02/22/2023 06:00,GENESE,61753,30.80,0.69,0.00
02/22/2023 06:00,H Q,61844,26.00,-1.02,3.08
02/22/2023 06:00,HUD VL,61758,32.60,2.50,0.00
02/22/2023 06:00,LONGIL,61762,39.15,3.43,-5.62
02/22/2023 06:00,MHK VL,61756,30.96,1.47,0.62
02/22/2023 06:00,MILLWD,61759,32.69,2.59,0.00
02/22/2023 06:00,N.Y.C.,61761,32.84,2.74,0.00
02/22/2023 06:00,NORTH,61755,24.79,-1.32,3.99
02/22/2023 06:00,NPX,61845,32.00,1.90,0.00
02/22/2023 06:00,O H,61846,29.95,-0.15,0.00
02/22/2023 06:00,PJM,61847,31.43,1.32,0.00
02/22/2023 06:00,WEST,61752,30.61,0.51,0.00
02/22/2023 07:00,CAPITL,61757,36.48,2.26,-2.38
02/22/2023 07:00,CENTRL,61754,35.43,1.34,-2.25
02/22/2023 07:00,DUNWOD,61760,37.13,3.37,-1.92
02/22/2023 07:00,GENESE,61753,35.19,1.08,-2.27
02/22/2023 07:00,H Q,61844,17.17,-1.05,13.62
02/22/2023 07:00,HUD VL,61758,36.72,2.99,-1.89
02/22/2023 07:00,LONGIL,61762,40.48,4.04,-4.60
02/22/2023 07:00,MHK VL,61756,35.35,1.97,-1.54
02/22/2023 07:00,MILLWD,61759,36.98,3.21,-1.93
02/22/2023 07:00,N.Y.C.,61761,37.19,3.44,-1.92
02/22/2023 07:00,NORTH,61755,25.65,-1.24,4.95
02/22/2023 07:00,NPX,61845,36.41,2.39,-2.18
02/22/2023 07:00,O H,61846,34.06,-0.10,-2.31
02/22/2023 07:00,PJM,61847,35.89,1.69,-2.36
02/22/2023 07:00,WEST,61752,34.86,0.70,-2.32
02/22/2023 08:00,CAPITL,61757,29.89,1.98,0.00
02/22/2023 08:00,CENTRL,61754,28.94,1.03,0.00
02/22/2023 08:00,DUNWOD,61760,30.95,3.04,0.00
02/22/2023 08:00,GENESE,61753,28.80,0.89,0.00
02/22/2023 08:00,H Q,61844,17.12,-0.89,9.90
02/22/2023 08:00,HUD VL,61758,30.56,2.65,0.00
02/22/2023 08:00,LONGIL,61762,37.73,3.74,-6.08
02/22/2023 08:00,MHK VL,61756,29.48,1.76,0.19
02/22/2023 08:00,MILLWD,61759,30.79,2.88,0.00
02/22/2023 08:00,N.Y.C.,61761,31.09,3.18,0.00
02/22/2023 08:00,NORTH,61755,26.64,-0.92,0.35
02/22/2023 08:00,NPX,61845,30.06,2.15,0.00
02/22/2023 08:00,O H,61846,27.80,-0.11,0.00
02/22/2023 08:00,PJM,61847,29.39,1.48,0.00
02/22/2023 08:00,WEST,61752,28.47,0.56,0.00
02/22/2023 09:00,CAPITL,61757,27.82,1.72,0.00
02/22/2023 09:00,CENTRL,61754,27.19,1.10,0.00
02/22/2023 09:00,DUNWOD,61760,28.97,2.87,0.00
02/22/2023 09:00,GENESE,61753,27.19,1.10,0.00
02/22/2023 09:00,H Q,61844,16.95,-0.84,8.31
02/22/2023 09:00,HUD VL,61758,28.58,2.48,0.00
02/22/2023 09:00,LONGIL,61762,33.10,3.52,-3.48
02/22/2023 09:00,MHK VL,61756,27.69,1.64,0.05
02/22/2023 09:00,MILLWD,61759,28.78,2.69,0.00
02/22/2023 09:00,N.Y.C.,61761,29.12,3.03,0.00
02/22/2023 09:00,NORTH,61755,25.19,-0.81,0.09
02/22/2023 09:00,NPX,61845,27.97,1.88,0.00
02/22/2023 09:00,O H,61846,26.43,0.34,0.00
02/22/2023 09:00,PJM,61847,27.74,1.64,0.00
02/22/2023 09:00,WEST,61752,27.14,1.04,0.00
02/22/2023 10:00,CAPITL,61757,26.39,1.64,0.09
02/22/2023 10:00,CENTRL,61754,25.73,0.89,0.00
02/22/2023 10:00,DUNWOD,61760,27.42,2.58,0.00
02/22/2023 10:00,GENESE,61753,25.71,0.87,0.00
02/22/2023 10:00,H Q,61844,16.91,-0.70,7.23
02/22/2023 10:00,HUD VL,61758,27.00,2.28,0.12
02/22/2023 10:00,LONGIL,61762,31.80,3.21,-3.75
02/22/2023 10:00,MHK VL,61756,26.30,1.47,0.00
02/22/2023 10:00,MILLWD,61759,27.27,2.44,0.00
02/22/2023 10:00,N.Y.C.,61761,27.50,2.66,0.00
02/22/2023 10:00,NORTH,61755,24.34,-0.50,0.00
02/22/2023 10:00,NPX,61845,26.60,1.76,0.00
02/22/2023 10:00,O H,61846,25.04,0.20,0.00
02/22/2023 10:00,PJM,61847,26.28,1.44,0.00
02/22/2023 10:00,WEST,61752,25.68,0.84,0.00
02/22/2023 11:00,CAPITL,61757,25.00,1.70,1.41
02/22/2023 11:00,CENTRL,61754,25.54,0.84,0.00
02/22/2023 11:00,DUNWOD,61760,27.37,2.67,0.00
02/22/2023 11:00,GENESE,61753,25.52,0.81,0.00
02/22/2023 11:00,H Q,61844,16.87,-0.72,7.12
02/22/2023 11:00,HUD VL,61758,25.13,2.35,1.92
02/22/2023 11:00,LONGIL,61762,29.10,3.29,-1.11
02/22/2023 11:00,MHK VL,61756,26.21,1.51,0.00
02/22/2023 11:00,MILLWD,61759,27.22,2.52,0.00
02/22/2023 11:00,N.Y.C.,61761,27.49,2.79,0.00
02/22/2023 11:00,NORTH,61755,24.18,-0.52,0.00
02/22/2023 11:00,NPX,61845,26.56,1.85,0.00
02/22/2023 11:00,O H,61846,24.78,0.07,0.00
02/22/2023 11:00,PJM,61847,26.11,1.41,0.00
02/22/2023 11:00,WEST,61752,25.42,0.72,0.00
02/22/2023 12:00,CAPITL,61757,6.63,1.75,20.15
02/22/2023 12:00,CENTRL,61754,25.77,0.75,0.00
02/22/2023 12:00,DUNWOD,61760,27.70,2.68,0.00
02/22/2023 12:00,GENESE,61753,25.72,0.70,0.00
02/22/2023 12:00,H Q,61844,16.76,-0.73,7.54
02/22/2023 12:00,HUD VL,61758,0.00,2.48,27.50
02/22/2023 12:00,LONGIL,61762,28.28,3.25,0.00
02/22/2023 12:00,MHK VL,61756,26.52,1.50,0.00
02/22/2023 12:00,MILLWD,61759,27.60,2.58,0.00
02/22/2023 12:00,N.Y.C.,61761,27.85,2.83,0.00
02/22/2023 12:00,NORTH,61755,24.50,-0.53,0.00
02/22/2023 12:00,NPX,61845,26.95,1.93,0.00
02/22/2023 12:00,O H,61846,24.90,-0.12,0.00
02/22/2023 12:00,PJM,61847,26.32,1.30,0.00
02/22/2023 12:00,WEST,61752,25.50,0.47,0.00
02/22/2023 13:00,CAPITL,61757,-0.65,1.86,27.63
02/22/2023 13:00,CENTRL,61754,25.87,0.75,0.00
02/22/2023 13:00,DUNWOD,61760,27.86,2.74,0.00
02/22/2023 13:00,GENESE,61753,25.77,0.65,0.00
02/22/2023 13:00,H Q,61844,16.82,-0.75,7.55
02/22/2023 13:00,HUD VL,61758,-10.02,2.56,37.71
02/22/2023 13:00,LONGIL,61762,28.41,3.29,0.00
02/22/2023 13:00,MHK VL,61756,26.60,1.48,0.00
02/22/2023 13:00,MILLWD,61759,27.76,2.64,0.00
02/22/2023 13:00,N.Y.C.,61761,27.98,2.86,0.00
02/22/2023 13:00,NORTH,61755,24.52,-0.60,0.00
02/22/2023 13:00,NPX,61845,27.05,1.93,0.00
02/22/2023 13:00,O H,61846,24.89,-0.23,0.00
02/22/2023 13:00,PJM,61847,26.40,1.28,0.00
02/22/2023 13:00,WEST,61752,25.50,0.38,0.00
02/22/2023 14:00,CAPITL,61757,-1.41,1.71,27.63
02/22/2023 14:00,CENTRL,61754,24.99,0.49,0.00
02/22/2023 14:00,DUNWOD,61760,27.07,2.57,0.00
02/22/2023 14:00,GENESE,61753,24.82,0.32,0.00
02/22/2023 14:00,H Q,61844,16.86,-0.61,7.03
02/22/2023 14:00,HUD VL,61758,-10.78,2.43,37.71
02/22/2023 14:00,LONGIL,61762,27.46,2.96,0.00
02/22/2023 14:00,MHK VL,61756,25.82,1.32,0.00
02/22/2023 14:00,MILLWD,61759,26.97,2.47,0.00
02/22/2023 14:00,N.Y.C.,61761,27.19,2.70,0.00
02/22/2023 14:00,NORTH,61755,24.23,-0.27,0.00
02/22/2023 14:00,NPX,61845,26.34,1.84,0.00
02/22/2023 14:00,O H,61846,23.94,-0.56,0.00
02/22/2023 14:00,PJM,61847,25.50,1.00,0.00
02/22/2023 14:00,WEST,61752,24.48,-0.02,0.00
02/22/2023 15:00,CAPITL,61757,0.00,1.75,26.35
02/22/2023 15:00,CENTRL,61754,25.02,0.39,-0.02
