Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/27/2023 00:00,CAPITL,61757,37.95,1.80,-7.64
02/27/2023 00:00,CENTRL,61754,29.35,-0.06,-0.90
02/27/2023 00:00,DUNWOD,61760,35.55,1.71,-5.33
02/27/2023 00:00,GENESE,61753,28.82,-0.40,-0.71
02/27/2023 00:00,H Q,61844,28.14,-0.37,0.00
02/27/2023 00:00,HUD VL,61758,35.36,1.60,-5.26
02/27/2023 00:00,LONGIL,61762,71.56,2.48,-40.58
02/27/2023 00:00,MHK VL,61756,30.47,0.88,-1.08
02/27/2023 00:00,MILLWD,61759,35.56,1.68,-5.37
02/27/2023 00:00,N.Y.C.,61761,35.75,1.91,-5.34
02/27/2023 00:00,NORTH,61755,28.42,-0.09,0.00
02/27/2023 00:00,NPX,61845,62.59,1.65,-32.43
02/27/2023 00:00,O H,61846,28.00,-1.34,-0.83
02/27/2023 00:00,PJM,61847,31.54,-0.03,-3.06
02/27/2023 00:00,WEST,61752,28.32,-1.08,-0.89
02/27/2023 01:00,CAPITL,61757,35.96,1.74,-5.77
02/27/2023 01:00,CENTRL,61754,29.05,-0.09,-0.68
02/27/2023 01:00,DUNWOD,61760,34.21,1.74,-4.02
02/27/2023 01:00,GENESE,61753,28.45,-0.54,-0.54
02/27/2023 01:00,H Q,61844,28.11,-0.34,0.00
02/27/2023 01:00,HUD VL,61758,34.02,1.59,-3.97
02/27/2023 01:00,LONGIL,61762,62.07,2.47,-31.15
02/27/2023 01:00,MHK VL,61756,30.15,0.88,-0.82
02/27/2023 01:00,MILLWD,61759,34.21,1.71,-4.05
02/27/2023 01:00,N.Y.C.,61761,34.39,1.91,-4.03
02/27/2023 01:00,NORTH,61755,28.45,0.00,0.00
02/27/2023 01:00,NPX,61845,58.00,1.65,-27.90
02/27/2023 01:00,O H,61846,27.60,-1.48,-0.63
02/27/2023 01:00,PJM,61847,30.70,-0.06,-2.31
