Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/28/2023 00:00,CAPITL,61757,68.15,0.04,-67.56
02/28/2023 00:00,CENTRL,61754,8.40,0.01,-7.84
02/28/2023 00:00,DUNWOD,61760,47.73,0.03,-47.14
02/28/2023 00:00,GENESE,61753,6.77,0.00,-6.21
02/28/2023 00:00,H Q,61844,0.55,-0.01,0.00
02/28/2023 00:00,HUD VL,61758,47.10,0.03,-46.51
02/28/2023 00:00,LONGIL,61762,97.20,0.05,-96.60
02/28/2023 00:00,MHK VL,61756,9.74,0.02,-9.16
02/28/2023 00:00,MILLWD,61759,48.08,0.03,-47.49
02/28/2023 00:00,N.Y.C.,61761,47.77,0.03,-47.18
02/28/2023 00:00,NORTH,61755,0.55,-0.01,0.00
02/28/2023 00:00,NPX,61845,56.84,0.04,-56.25
02/28/2023 00:00,O H,61846,7.82,-0.01,-7.27
02/28/2023 00:00,PJM,61847,27.57,0.00,-27.00
02/28/2023 00:00,WEST,61752,8.39,-0.01,-7.84
02/28/2023 01:00,CAPITL,61757,63.78,0.05,-63.05
02/28/2023 01:00,CENTRL,61754,8.00,0.01,-7.32
02/28/2023 01:00,DUNWOD,61760,44.72,0.04,-44.00
02/28/2023 01:00,GENESE,61753,6.47,0.00,-5.79
02/28/2023 01:00,H Q,61844,0.67,-0.01,0.00
02/28/2023 01:00,HUD VL,61758,44.13,0.04,-43.41
02/28/2023 01:00,LONGIL,61762,81.64,0.06,-80.91
02/28/2023 01:00,MHK VL,61756,9.26,0.02,-8.55
02/28/2023 01:00,MILLWD,61759,45.04,0.04,-44.32
02/28/2023 01:00,N.Y.C.,61761,44.73,0.03,-44.01
02/28/2023 01:00,NORTH,61755,0.67,-0.01,0.00
02/28/2023 01:00,NPX,61845,57.70,0.04,-56.98
02/28/2023 01:00,O H,61846,7.45,-0.02,-6.79
02/28/2023 01:00,PJM,61847,25.85,0.00,-25.17
02/28/2023 01:00,WEST,61752,7.98,-0.02,-7.32
02/28/2023 02:00,CAPITL,61757,57.49,0.10,-55.91
02/28/2023 02:00,CENTRL,61754,7.98,0.02,-6.49
02/28/2023 02:00,DUNWOD,61760,40.58,0.08,-39.02
02/28/2023 02:00,GENESE,61753,6.62,0.01,-5.14
02/28/2023 02:00,H Q,61844,1.45,-0.03,0.00
02/28/2023 02:00,HUD VL,61758,40.05,0.08,-38.50
02/28/2023 02:00,LONGIL,61762,70.22,0.13,-68.62
02/28/2023 02:00,MHK VL,61756,9.11,0.05,-7.58
02/28/2023 02:00,MILLWD,61759,40.86,0.08,-39.30
02/28/2023 02:00,N.Y.C.,61761,40.60,0.08,-39.05
02/28/2023 02:00,NORTH,61755,1.44,-0.03,0.00
02/28/2023 02:00,NPX,61845,54.60,0.10,-53.03
02/28/2023 02:00,O H,61846,7.47,-0.02,-6.02
02/28/2023 02:00,PJM,61847,23.84,0.01,-22.35
02/28/2023 02:00,WEST,61752,7.94,-0.02,-6.49
02/28/2023 03:00,CAPITL,61757,56.89,0.10,-55.25
02/28/2023 03:00,CENTRL,61754,7.98,0.02,-6.41
02/28/2023 03:00,DUNWOD,61760,40.18,0.09,-38.55
02/28/2023 03:00,GENESE,61753,6.63,0.01,-5.08
02/28/2023 03:00,H Q,61844,1.51,-0.03,0.00
02/28/2023 03:00,HUD VL,61758,39.67,0.08,-38.04
02/28/2023 03:00,LONGIL,61762,68.18,0.13,-66.50
02/28/2023 03:00,MHK VL,61756,9.10,0.06,-7.49
02/28/2023 03:00,MILLWD,61759,40.47,0.08,-38.84
02/28/2023 03:00,N.Y.C.,61761,40.21,0.08,-38.58
02/28/2023 03:00,NORTH,61755,1.51,-0.04,0.00
02/28/2023 03:00,NPX,61845,49.10,0.10,-47.45
02/28/2023 03:00,O H,61846,7.47,-0.02,-5.95
02/28/2023 03:00,PJM,61847,23.65,0.02,-22.08
02/28/2023 03:00,WEST,61752,7.94,-0.02,-6.41
02/28/2023 04:00,CAPITL,61757,57.45,0.10,-55.87
02/28/2023 04:00,CENTRL,61754,7.98,0.02,-6.48
02/28/2023 04:00,DUNWOD,61760,40.55,0.08,-38.99
02/28/2023 04:00,GENESE,61753,6.62,0.01,-5.13
02/28/2023 04:00,H Q,61844,1.45,-0.03,0.00
02/28/2023 04:00,HUD VL,61758,40.02,0.08,-38.47
02/28/2023 04:00,LONGIL,61762,81.22,0.13,-79.62
02/28/2023 04:00,MHK VL,61756,9.11,0.05,-7.58
02/28/2023 04:00,MILLWD,61759,40.83,0.08,-39.27
02/28/2023 04:00,N.Y.C.,61761,40.58,0.08,-39.02
02/28/2023 04:00,NORTH,61755,1.44,-0.04,0.00
02/28/2023 04:00,NPX,61845,51.30,0.10,-49.73
02/28/2023 04:00,O H,61846,7.47,-0.02,-6.01
02/28/2023 04:00,PJM,61847,23.83,0.02,-22.33
02/28/2023 04:00,WEST,61752,7.94,-0.02,-6.48
02/28/2023 05:00,CAPITL,61757,65.27,0.18,-62.46
02/28/2023 05:00,CENTRL,61754,9.92,0.05,-7.25
02/28/2023 05:00,DUNWOD,61760,46.36,0.14,-43.59
02/28/2023 05:00,GENESE,61753,8.39,0.02,-5.74
02/28/2023 05:00,H Q,61844,2.27,-0.06,0.30
02/28/2023 05:00,HUD VL,61758,45.77,0.14,-43.01
02/28/2023 05:00,LONGIL,61762,88.99,0.22,-86.15
02/28/2023 05:00,MHK VL,61756,11.05,0.10,-8.32
02/28/2023 05:00,MILLWD,61759,46.67,0.14,-43.91
02/28/2023 05:00,N.Y.C.,61761,46.29,0.13,-43.54
02/28/2023 05:00,NORTH,61755,1.03,-0.08,1.51
02/28/2023 05:00,NPX,61845,59.59,0.17,-56.79
02/28/2023 05:00,O H,61846,9.31,-0.04,-6.72
02/28/2023 05:00,PJM,61847,27.50,0.03,-24.84
02/28/2023 05:00,WEST,61752,9.84,-0.03,-7.25
02/28/2023 06:00,CAPITL,61757,78.55,0.43,-71.90
02/28/2023 06:00,CENTRL,61754,14.75,0.16,-8.38
02/28/2023 06:00,DUNWOD,61760,56.45,0.37,-49.87
02/28/2023 06:00,GENESE,61753,12.91,0.11,-6.59
02/28/2023 06:00,H Q,61844,5.08,-0.16,0.98
02/28/2023 06:00,HUD VL,61758,55.91,0.35,-49.33
02/28/2023 06:00,LONGIL,61762,93.72,0.56,-86.95
02/28/2023 06:00,MHK VL,61756,15.35,0.27,-8.86
02/28/2023 06:00,MILLWD,61759,57.13,0.36,-50.55
02/28/2023 06:00,N.Y.C.,61761,56.18,0.34,-49.63
02/28/2023 06:00,NORTH,61755,1.10,-0.21,4.91
02/28/2023 06:00,NPX,61845,75.84,0.40,-69.22
02/28/2023 06:00,O H,61846,13.93,-0.06,-7.77
02/28/2023 06:00,PJM,61847,34.62,0.12,-28.29
02/28/2023 06:00,WEST,61752,14.56,-0.02,-8.37
02/28/2023 07:00,CAPITL,61757,90.60,0.41,-84.23
02/28/2023 07:00,CENTRL,61754,15.93,0.15,-9.82
02/28/2023 07:00,DUNWOD,61760,64.75,0.37,-58.41
02/28/2023 07:00,GENESE,61753,13.81,0.13,-7.72
02/28/2023 07:00,H Q,61844,5.43,-0.16,0.38
02/28/2023 07:00,HUD VL,61758,64.08,0.32,-57.79
02/28/2023 07:00,LONGIL,61762,104.02,0.54,-97.51
02/28/2023 07:00,MHK VL,61756,16.78,0.29,-10.52
02/28/2023 07:00,MILLWD,61759,65.52,0.34,-59.21
02/28/2023 07:00,N.Y.C.,61761,64.34,0.35,-58.03
02/28/2023 07:00,NORTH,61755,1.39,-0.20,4.38
02/28/2023 07:00,NPX,61845,80.00,0.39,-73.65
02/28/2023 07:00,O H,61846,15.49,-0.07,-9.59
02/28/2023 07:00,PJM,61847,39.54,0.11,-33.47
02/28/2023 07:00,WEST,61752,15.71,-0.05,-9.80
02/28/2023 08:00,CAPITL,61757,112.80,0.83,-100.15
02/28/2023 08:00,CENTRL,61754,21.54,0.19,-9.52
02/28/2023 08:00,DUNWOD,61760,64.33,0.85,-51.65
02/28/2023 08:00,GENESE,61753,18.51,0.07,-6.62
02/28/2023 08:00,H Q,61844,9.08,-0.31,2.43
02/28/2023 08:00,HUD VL,61758,64.06,0.72,-51.51
02/28/2023 08:00,LONGIL,61762,111.79,1.22,-98.75
02/28/2023 08:00,MHK VL,61756,22.41,0.51,-10.08
02/28/2023 08:00,MILLWD,61759,65.02,0.80,-52.39
02/28/2023 08:00,N.Y.C.,61761,64.34,0.85,-51.66
02/28/2023 08:00,NORTH,61755,1.74,-0.37,9.72
02/28/2023 08:00,NPX,61845,84.66,0.82,-72.02
02/28/2023 08:00,O H,61846,16.67,-0.38,-5.23
02/28/2023 08:00,PJM,61847,40.43,0.14,-28.47
02/28/2023 08:00,WEST,61752,17.50,-0.32,-6.00
02/28/2023 09:00,CAPITL,61757,88.56,0.64,-78.73
02/28/2023 09:00,CENTRL,61754,19.45,0.13,-10.14
02/28/2023 09:00,DUNWOD,61760,64.34,0.66,-54.49
02/28/2023 09:00,GENESE,61753,16.44,0.06,-7.20
02/28/2023 09:00,H Q,61844,7.38,-0.23,1.57
02/28/2023 09:00,HUD VL,61758,63.63,0.57,-53.87
02/28/2023 09:00,LONGIL,61762,104.02,0.93,-93.91
02/28/2023 09:00,MHK VL,61756,18.89,0.38,-9.33
02/28/2023 09:00,MILLWD,61759,65.06,0.64,-55.24
02/28/2023 09:00,N.Y.C.,61761,63.89,0.67,-54.03
02/28/2023 09:00,NORTH,61755,1.02,-0.30,7.86
02/28/2023 09:00,NPX,61845,75.25,0.62,-65.46
02/28/2023 09:00,O H,61846,15.25,-0.29,-6.36
02/28/2023 09:00,PJM,61847,39.16,0.11,-29.87
02/28/2023 09:00,WEST,61752,15.62,-0.22,-6.66
02/28/2023 10:00,CAPITL,61757,66.57,1.13,-49.00
02/28/2023 10:00,CENTRL,61754,24.50,0.28,-7.79
02/28/2023 10:00,DUNWOD,61760,51.60,1.25,-33.92
02/28/2023 10:00,GENESE,61753,21.05,0.13,-4.48
02/28/2023 10:00,H Q,61844,13.17,-0.46,2.80
02/28/2023 10:00,HUD VL,61758,51.05,1.08,-33.53
02/28/2023 10:00,LONGIL,61762,86.00,1.63,-67.94
02/28/2023 10:00,MHK VL,61756,22.02,0.69,-4.89
02/28/2023 10:00,MILLWD,61759,52.05,1.23,-34.38
02/28/2023 10:00,N.Y.C.,61761,51.38,1.30,-33.65
02/28/2023 10:00,NORTH,61755,1.85,-0.58,14.00
02/28/2023 10:00,NPX,61845,58.31,1.13,-40.74
02/28/2023 10:00,O H,61846,16.80,-0.49,-0.86
02/28/2023 10:00,PJM,61847,34.39,0.26,-17.70
02/28/2023 10:00,WEST,61752,16.59,-0.35,-0.50
02/28/2023 11:00,CAPITL,61757,64.20,1.23,-45.62
02/28/2023 11:00,CENTRL,61754,24.88,0.29,-7.24
02/28/2023 11:00,DUNWOD,61760,49.44,1.32,-30.77
02/28/2023 11:00,GENESE,61753,21.53,0.12,-4.06
02/28/2023 11:00,H Q,61844,13.97,-0.49,2.89
02/28/2023 11:00,HUD VL,61758,48.99,1.21,-30.42
02/28/2023 11:00,LONGIL,61762,86.00,1.70,-66.95
02/28/2023 11:00,MHK VL,61756,22.42,0.75,-4.32
02/28/2023 11:00,MILLWD,61759,49.83,1.27,-31.22
02/28/2023 11:00,N.Y.C.,61761,49.45,1.35,-30.75
02/28/2023 11:00,NORTH,61755,2.26,-0.61,14.48
02/28/2023 11:00,NPX,61845,58.56,1.21,-39.99
02/28/2023 11:00,O H,61846,17.10,-0.56,-0.31
02/28/2023 11:00,PJM,61847,33.90,0.26,-16.29
02/28/2023 11:00,WEST,61752,16.85,-0.40,0.10
02/28/2023 12:00,CAPITL,61757,61.97,1.18,-44.13
02/28/2023 12:00,CENTRL,61754,23.99,0.28,-7.06
02/28/2023 12:00,DUNWOD,61760,48.04,1.25,-30.14
02/28/2023 12:00,GENESE,61753,20.76,0.13,-3.97
02/28/2023 12:00,H Q,61844,13.38,-0.45,2.82
02/28/2023 12:00,HUD VL,61758,47.59,1.13,-29.80
02/28/2023 12:00,LONGIL,61762,66.00,1.58,-47.77
02/28/2023 12:00,MHK VL,61756,21.63,0.73,-4.24
02/28/2023 12:00,MILLWD,61759,48.43,1.20,-30.58
02/28/2023 12:00,N.Y.C.,61761,48.10,1.30,-30.15
02/28/2023 12:00,NORTH,61755,1.98,-0.57,14.11
02/28/2023 12:00,NPX,61845,55.78,1.17,-37.96
02/28/2023 12:00,O H,61846,16.51,-0.52,-0.37
02/28/2023 12:00,PJM,61847,32.94,0.25,-16.03
02/28/2023 12:00,WEST,61752,16.27,-0.37,0.02
02/28/2023 13:00,CAPITL,61757,57.86,1.04,-41.46
02/28/2023 13:00,CENTRL,61754,21.90,0.21,-6.33
02/28/2023 13:00,DUNWOD,61760,45.06,1.18,-28.52
02/28/2023 13:00,GENESE,61753,19.19,0.08,-3.76
02/28/2023 13:00,H Q,61844,12.29,-0.40,2.66
