Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/17/2023 00:00,CAPITL,61757,25.87,0.40,-17.85
02/17/2023 00:00,CENTRL,61754,10.72,0.21,-2.88
02/17/2023 00:00,DUNWOD,61760,21.68,0.68,-13.38
02/17/2023 00:00,GENESE,61753,9.93,0.14,-2.16
02/17/2023 00:00,H Q,61844,7.42,-0.21,0.00
02/17/2023 00:00,HUD VL,61758,21.45,0.58,-13.24
02/17/2023 00:00,LONGIL,61762,22.54,0.86,-14.05
02/17/2023 00:00,MHK VL,61756,11.29,0.26,-3.40
02/17/2023 00:00,MILLWD,61759,21.74,0.63,-13.48
02/17/2023 00:00,N.Y.C.,61761,21.76,0.75,-13.39
02/17/2023 00:00,NORTH,61755,7.42,-0.21,0.00
02/17/2023 00:00,NPX,61845,23.82,0.48,-15.71
02/17/2023 00:00,O H,61846,10.20,0.00,-2.57
02/17/2023 00:00,PJM,61847,16.04,0.31,-8.10
02/17/2023 00:00,WEST,61752,10.47,0.05,-2.80
02/17/2023 01:00,CAPITL,61757,24.50,0.41,-16.44
02/17/2023 01:00,CENTRL,61754,10.53,0.23,-2.65
02/17/2023 01:00,DUNWOD,61760,20.63,0.66,-12.32
02/17/2023 01:00,GENESE,61753,9.83,0.18,-1.99
02/17/2023 01:00,H Q,61844,7.44,-0.21,0.00
02/17/2023 01:00,HUD VL,61758,20.41,0.56,-12.19
02/17/2023 01:00,LONGIL,61762,20.82,0.83,-12.33
02/17/2023 01:00,MHK VL,61756,11.06,0.27,-3.13
02/17/2023 01:00,MILLWD,61759,20.69,0.62,-12.42
02/17/2023 01:00,N.Y.C.,61761,20.71,0.73,-12.33
02/17/2023 01:00,NORTH,61755,7.41,-0.25,0.00
02/17/2023 01:00,NPX,61845,22.61,0.48,-14.47
02/17/2023 01:00,O H,61846,10.10,0.08,-2.37
02/17/2023 01:00,PJM,61847,15.45,0.34,-7.46
02/17/2023 01:00,WEST,61752,10.36,0.13,-2.58
02/17/2023 02:00,CAPITL,61757,24.32,0.33,-17.62
02/17/2023 02:00,CENTRL,61754,9.39,0.18,-2.84
02/17/2023 02:00,DUNWOD,61760,20.11,0.53,-13.21
02/17/2023 02:00,GENESE,61753,8.63,0.13,-2.14
02/17/2023 02:00,H Q,61844,6.19,-0.17,0.00
02/17/2023 02:00,HUD VL,61758,19.89,0.46,-13.07
02/17/2023 02:00,LONGIL,61762,20.25,0.66,-13.22
02/17/2023 02:00,MHK VL,61756,9.94,0.22,-3.36
02/17/2023 02:00,MILLWD,61759,20.18,0.50,-13.31
02/17/2023 02:00,N.Y.C.,61761,20.17,0.59,-13.22
02/17/2023 02:00,NORTH,61755,6.17,-0.20,0.00
02/17/2023 02:00,NPX,61845,22.28,0.41,-15.51
02/17/2023 02:00,O H,61846,8.92,0.02,-2.54
02/17/2023 02:00,PJM,61847,14.62,0.26,-7.99
02/17/2023 02:00,WEST,61752,9.20,0.07,-2.76
02/17/2023 03:00,CAPITL,61757,24.01,0.33,-17.34
02/17/2023 03:00,CENTRL,61754,9.33,0.18,-2.80
02/17/2023 03:00,DUNWOD,61760,19.88,0.53,-12.99
02/17/2023 03:00,GENESE,61753,8.58,0.13,-2.10
02/17/2023 03:00,H Q,61844,6.18,-0.17,0.00
02/17/2023 03:00,HUD VL,61758,19.67,0.46,-12.86
02/17/2023 03:00,LONGIL,61762,20.01,0.65,-13.01
02/17/2023 03:00,MHK VL,61756,9.87,0.22,-3.31
02/17/2023 03:00,MILLWD,61759,19.95,0.50,-13.10
02/17/2023 03:00,N.Y.C.,61761,19.93,0.58,-13.00
02/17/2023 03:00,NORTH,61755,6.16,-0.19,0.00
02/17/2023 03:00,NPX,61845,22.02,0.41,-15.26
02/17/2023 03:00,O H,61846,8.87,0.02,-2.50
02/17/2023 03:00,PJM,61847,14.47,0.26,-7.86
02/17/2023 03:00,WEST,61752,9.14,0.07,-2.72
02/17/2023 04:00,CAPITL,61757,23.58,0.38,-15.81
02/17/2023 04:00,CENTRL,61754,10.16,0.23,-2.55
02/17/2023 04:00,DUNWOD,61760,19.84,0.61,-11.85
02/17/2023 04:00,GENESE,61753,9.46,0.16,-1.92
02/17/2023 04:00,H Q,61844,7.17,-0.21,0.00
02/17/2023 04:00,HUD VL,61758,19.64,0.53,-11.73
02/17/2023 04:00,LONGIL,61762,20.00,0.76,-11.86
02/17/2023 04:00,MHK VL,61756,10.65,0.25,-3.02
02/17/2023 04:00,MILLWD,61759,19.90,0.58,-11.95
02/17/2023 04:00,N.Y.C.,61761,19.91,0.67,-11.86
02/17/2023 04:00,NORTH,61755,7.14,-0.24,0.00
02/17/2023 04:00,NPX,61845,21.78,0.48,-13.92
02/17/2023 04:00,O H,61846,9.69,0.03,-2.28
02/17/2023 04:00,PJM,61847,14.86,0.30,-7.17
02/17/2023 04:00,WEST,61752,9.94,0.08,-2.48
02/17/2023 05:00,CAPITL,61757,25.83,0.41,-17.84
02/17/2023 05:00,CENTRL,61754,10.72,0.27,-2.88
02/17/2023 05:00,DUNWOD,61760,21.59,0.64,-13.37
02/17/2023 05:00,GENESE,61753,9.91,0.17,-2.16
02/17/2023 05:00,H Q,61844,7.35,-0.23,0.00
02/17/2023 05:00,HUD VL,61758,21.36,0.55,-13.23
02/17/2023 05:00,LONGIL,61762,23.12,0.82,-14.73
