Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/21/2023 00:00,CAPITL,61757,22.65,1.01,-2.92
02/21/2023 00:00,CENTRL,61754,19.27,0.28,-0.26
02/21/2023 00:00,DUNWOD,61760,22.47,1.63,-2.11
02/21/2023 00:00,GENESE,61753,18.95,0.02,-0.21
02/21/2023 00:00,H Q,61844,18.26,-0.47,0.00
02/21/2023 00:00,HUD VL,61758,22.23,1.41,-2.10
02/21/2023 00:00,LONGIL,61762,22.84,2.00,-2.12
02/21/2023 00:00,MHK VL,61756,19.69,0.69,-0.27
02/21/2023 00:00,MILLWD,61759,22.41,1.55,-2.13
02/21/2023 00:00,N.Y.C.,61761,22.64,1.80,-2.12
02/21/2023 00:00,NORTH,61755,18.54,-0.19,0.00
02/21/2023 00:00,NPX,61845,22.43,1.18,-2.53
02/21/2023 00:00,O H,61846,18.52,-0.45,-0.25
02/21/2023 00:00,PJM,61847,20.42,0.52,-1.17
02/21/2023 00:00,WEST,61752,18.77,-0.22,-0.27
02/21/2023 01:00,CAPITL,61757,21.24,0.97,-1.92
02/21/2023 01:00,CENTRL,61754,18.76,0.24,-0.17
02/21/2023 01:00,DUNWOD,61760,21.30,1.56,-1.39
02/21/2023 01:00,GENESE,61753,18.42,-0.07,-0.14
02/21/2023 01:00,H Q,61844,17.93,-0.42,0.00
02/21/2023 01:00,HUD VL,61758,21.07,1.34,-1.38
02/21/2023 01:00,LONGIL,61762,21.69,1.94,-1.39
02/21/2023 01:00,MHK VL,61756,19.25,0.72,-0.18
02/21/2023 01:00,MILLWD,61759,21.24,1.49,-1.40
02/21/2023 01:00,N.Y.C.,61761,21.45,1.71,-1.39
02/21/2023 01:00,NORTH,61755,18.23,-0.13,0.00
02/21/2023 01:00,NPX,61845,21.15,1.14,-1.66
02/21/2023 01:00,O H,61846,17.91,-0.61,-0.16
02/21/2023 01:00,PJM,61847,19.56,0.44,-0.77
02/21/2023 01:00,WEST,61752,18.16,-0.37,-0.18
02/21/2023 02:00,CAPITL,61757,21.25,0.91,-3.46
02/21/2023 02:00,CENTRL,61754,17.41,0.22,-0.31
02/21/2023 02:00,DUNWOD,61760,20.80,1.42,-2.51
02/21/2023 02:00,GENESE,61753,17.12,0.00,-0.24
02/21/2023 02:00,H Q,61844,16.49,-0.39,0.00
02/21/2023 02:00,HUD VL,61758,20.58,1.22,-2.49
02/21/2023 02:00,LONGIL,61762,21.20,1.81,-2.51
02/21/2023 02:00,MHK VL,61756,17.81,0.61,-0.32
02/21/2023 02:00,MILLWD,61759,20.74,1.33,-2.53
02/21/2023 02:00,N.Y.C.,61761,20.94,1.55,-2.51
02/21/2023 02:00,NORTH,61755,16.74,-0.14,0.00
02/21/2023 02:00,NPX,61845,20.93,1.05,-3.00
02/21/2023 02:00,O H,61846,16.73,-0.44,-0.29
02/21/2023 02:00,PJM,61847,18.70,0.44,-1.39
02/21/2023 02:00,WEST,61752,16.96,-0.24,-0.32
02/21/2023 03:00,CAPITL,61757,21.43,0.87,-4.75
02/21/2023 03:00,CENTRL,61754,16.47,0.24,-0.42
02/21/2023 03:00,DUNWOD,61760,20.56,1.31,-3.44
02/21/2023 03:00,GENESE,61753,16.17,0.03,-0.34
02/21/2023 03:00,H Q,61844,15.43,-0.38,0.00
02/21/2023 03:00,HUD VL,61758,20.34,1.12,-3.42
02/21/2023 03:00,LONGIL,61762,20.85,1.60,-3.45
02/21/2023 03:00,MHK VL,61756,16.82,0.57,-0.44
02/21/2023 03:00,MILLWD,61759,20.52,1.25,-3.47
02/21/2023 03:00,N.Y.C.,61761,20.68,1.42,-3.45
02/21/2023 03:00,NORTH,61755,15.65,-0.16,0.00
02/21/2023 03:00,NPX,61845,20.92,1.00,-4.12
02/21/2023 03:00,O H,61846,15.89,-0.32,-0.40
02/21/2023 03:00,PJM,61847,18.15,0.44,-1.90
02/21/2023 03:00,WEST,61752,16.10,-0.14,-0.43
02/21/2023 04:00,CAPITL,61757,22.64,0.91,-5.26
02/21/2023 04:00,CENTRL,61754,17.20,0.25,-0.47
02/21/2023 04:00,DUNWOD,61760,21.67,1.38,-3.81
02/21/2023 04:00,GENESE,61753,16.89,0.03,-0.37
02/21/2023 04:00,H Q,61844,16.08,-0.40,0.00
02/21/2023 04:00,HUD VL,61758,21.46,1.20,-3.78
02/21/2023 04:00,LONGIL,61762,23.06,1.80,-4.78
02/21/2023 04:00,MHK VL,61756,17.58,0.61,-0.49
02/21/2023 04:00,MILLWD,61759,21.62,1.30,-3.84
02/21/2023 04:00,N.Y.C.,61761,21.81,1.52,-3.82
02/21/2023 04:00,NORTH,61755,16.32,-0.16,0.00
02/21/2023 04:00,NPX,61845,22.08,1.04,-4.56
02/21/2023 04:00,O H,61846,16.56,-0.36,-0.44
02/21/2023 04:00,PJM,61847,19.05,0.46,-2.10
02/21/2023 04:00,WEST,61752,16.75,-0.21,-0.48
02/21/2023 05:00,CAPITL,61757,25.59,0.94,-8.21
02/21/2023 05:00,CENTRL,61754,17.47,0.30,-0.73
02/21/2023 05:00,DUNWOD,61760,23.79,1.40,-5.95
02/21/2023 05:00,GENESE,61753,17.11,0.08,-0.58
02/21/2023 05:00,H Q,61844,16.02,-0.43,0.00
02/21/2023 05:00,HUD VL,61758,23.55,1.20,-5.90
02/21/2023 05:00,LONGIL,61762,27.20,1.76,-8.99
