Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/05/2023 00:00,CAPITL,61757,127.22,1.33,-105.68
02/05/2023 00:00,CENTRL,61754,34.15,-0.06,-14.01
02/05/2023 00:00,DUNWOD,61760,95.04,1.07,-73.76
02/05/2023 00:00,GENESE,61753,28.89,-0.43,-9.11
02/05/2023 00:00,H Q,61844,20.00,-0.20,0.00
02/05/2023 00:00,HUD VL,61758,94.10,0.97,-72.93
02/05/2023 00:00,LONGIL,61762,160.44,1.70,-138.54
02/05/2023 00:00,MHK VL,61756,35.74,0.67,-14.88
02/05/2023 00:00,MILLWD,61759,95.65,1.13,-74.32
02/05/2023 00:00,N.Y.C.,61761,95.19,1.15,-73.83
02/05/2023 00:00,NORTH,61755,20.26,0.06,0.00
02/05/2023 00:00,NPX,61845,118.80,1.09,-97.51
02/05/2023 00:00,O H,61846,25.45,-1.27,-6.52
02/05/2023 00:00,PJM,61847,57.79,-0.34,-37.93
02/05/2023 00:00,WEST,61752,25.70,-1.17,-6.67
02/05/2023 01:00,CAPITL,61757,118.72,1.29,-97.24
02/05/2023 01:00,CENTRL,61754,33.12,-0.02,-12.96
02/05/2023 01:00,DUNWOD,61760,89.06,1.01,-67.87
02/05/2023 01:00,GENESE,61753,28.12,-0.44,-8.38
02/05/2023 01:00,H Q,61844,20.00,-0.18,0.00
02/05/2023 01:00,HUD VL,61758,88.15,0.87,-67.11
02/05/2023 01:00,LONGIL,61762,151.20,1.51,-129.51
02/05/2023 01:00,MHK VL,61756,34.54,0.67,-13.69
02/05/2023 01:00,MILLWD,61759,89.57,1.01,-68.38
02/05/2023 01:00,N.Y.C.,61761,89.17,1.05,-67.94
02/05/2023 01:00,NORTH,61755,20.20,0.02,0.00
02/05/2023 01:00,NPX,61845,109.90,1.03,-88.69
02/05/2023 01:00,O H,61846,24.80,-1.23,-5.85
02/05/2023 01:00,PJM,61847,52.50,-0.38,-32.70
02/05/2023 01:00,WEST,61752,24.95,-1.19,-5.95
02/05/2023 02:00,CAPITL,61757,123.14,0.33,-117.72
02/05/2023 02:00,CENTRL,61754,18.35,0.01,-13.25
02/05/2023 02:00,DUNWOD,61760,87.50,0.24,-82.16
02/05/2023 02:00,GENESE,61753,15.16,-0.08,-10.15
02/05/2023 02:00,H Q,61844,5.04,-0.05,0.00
02/05/2023 02:00,HUD VL,61758,86.54,0.21,-81.24
02/05/2023 02:00,LONGIL,61762,149.19,0.38,-143.72
02/05/2023 02:00,MHK VL,61756,21.83,0.17,-16.57
02/05/2023 02:00,MILLWD,61759,88.11,0.24,-82.78
02/05/2023 02:00,N.Y.C.,61761,87.58,0.24,-82.24
02/05/2023 02:00,NORTH,61755,5.09,0.00,0.00
02/05/2023 02:00,NPX,61845,106.20,0.25,-100.85
