Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/01/2023 00:00,CAPITL,61757,85.36,2.03,-52.52
02/01/2023 00:00,CENTRL,61754,32.20,0.03,-1.37
02/01/2023 00:00,DUNWOD,61760,70.50,2.06,-37.64
02/01/2023 00:00,GENESE,61753,31.34,-0.43,-0.97
02/01/2023 00:00,H Q,61844,30.34,-0.46,0.00
02/01/2023 00:00,HUD VL,61758,69.87,1.88,-37.19
02/01/2023 00:00,LONGIL,61762,71.04,2.56,-37.68
02/01/2023 00:00,MHK VL,61756,37.84,1.23,-5.81
02/01/2023 00:00,MILLWD,61759,70.71,2.03,-37.87
02/01/2023 00:00,N.Y.C.,61761,70.60,2.12,-37.68
02/01/2023 00:00,NORTH,61755,31.14,0.34,0.00
02/01/2023 00:00,NPX,61845,78.97,1.88,-46.29
02/01/2023 00:00,O H,61846,30.59,-1.35,-1.15
02/01/2023 00:00,PJM,61847,35.13,0.19,-4.14
02/01/2023 00:00,WEST,61752,31.34,-0.71,-1.24
02/01/2023 01:00,CAPITL,61757,71.73,2.03,-38.90
02/01/2023 01:00,CENTRL,61754,31.78,-0.03,-1.01
02/01/2023 01:00,DUNWOD,61760,60.71,2.03,-27.88
02/01/2023 01:00,GENESE,61753,31.09,-0.43,-0.72
02/01/2023 01:00,H Q,61844,30.34,-0.46,0.00
02/01/2023 01:00,HUD VL,61758,60.22,1.88,-27.54
02/01/2023 01:00,LONGIL,61762,61.26,2.56,-27.91
02/01/2023 01:00,MHK VL,61756,36.30,1.20,-4.30
02/01/2023 01:00,MILLWD,61759,60.85,2.00,-28.05
02/01/2023 01:00,N.Y.C.,61761,60.80,2.10,-27.90
02/01/2023 01:00,NORTH,61755,31.02,0.22,0.00
02/01/2023 01:00,NPX,61845,75.20,1.88,-42.52
02/01/2023 01:00,O H,61846,30.30,-1.35,-0.85
02/01/2023 01:00,PJM,61847,33.34,0.19,-2.35
02/01/2023 01:00,WEST,61752,30.98,-0.74,-0.92
02/01/2023 02:00,CAPITL,61757,69.74,2.00,-36.97
02/01/2023 02:00,CENTRL,61754,31.70,-0.03,-0.96
02/01/2023 02:00,DUNWOD,61760,59.32,2.06,-26.49
02/01/2023 02:00,GENESE,61753,30.90,-0.55,-0.69
02/01/2023 02:00,H Q,61844,30.34,-0.43,0.00
02/01/2023 02:00,HUD VL,61758,58.82,1.88,-26.18
02/01/2023 02:00,LONGIL,61762,60.00,2.71,-26.52
02/01/2023 02:00,MHK VL,61756,36.09,1.23,-4.09
02/01/2023 02:00,MILLWD,61759,59.46,2.03,-26.66
02/01/2023 02:00,N.Y.C.,61761,59.41,2.12,-26.52
02/01/2023 02:00,NORTH,61755,31.14,0.37,0.00
02/01/2023 02:00,NPX,61845,73.23,1.88,-40.58
02/01/2023 02:00,O H,61846,30.19,-1.38,-0.81
02/01/2023 02:00,PJM,61847,32.50,0.19,-1.54
02/01/2023 02:00,WEST,61752,30.91,-0.74,-0.88
02/01/2023 03:00,CAPITL,61757,63.49,2.04,-30.53
02/01/2023 03:00,CENTRL,61754,31.71,0.00,-0.79
02/01/2023 03:00,DUNWOD,61760,54.84,2.04,-21.88
02/01/2023 03:00,GENESE,61753,31.05,-0.43,-0.57
02/01/2023 03:00,H Q,61844,30.46,-0.46,0.00
02/01/2023 03:00,HUD VL,61758,54.39,1.86,-21.61
02/01/2023 03:00,LONGIL,61762,59.15,2.97,-25.26
02/01/2023 03:00,MHK VL,61756,35.53,1.24,-3.37
02/01/2023 03:00,MILLWD,61759,54.97,2.04,-22.01
02/01/2023 03:00,N.Y.C.,61761,54.89,2.07,-21.90
02/01/2023 03:00,NORTH,61755,31.23,0.31,0.00
02/01/2023 03:00,NPX,61845,73.50,1.89,-40.69
02/01/2023 03:00,O H,61846,30.23,-1.36,-0.67
02/01/2023 03:00,PJM,61847,32.71,0.19,-1.60
02/01/2023 03:00,WEST,61752,30.93,-0.71,-0.72
02/01/2023 04:00,CAPITL,61757,64.00,2.16,-28.07
02/01/2023 04:00,CENTRL,61754,34.26,-0.23,-0.73
02/01/2023 04:00,DUNWOD,61760,56.04,2.16,-20.12
02/01/2023 04:00,GENESE,61753,33.27,-1.01,-0.52
02/01/2023 04:00,H Q,61844,33.39,-0.37,0.00
02/01/2023 04:00,HUD VL,61758,55.63,1.99,-19.88
02/01/2023 04:00,LONGIL,61762,60.27,3.21,-23.30
02/01/2023 04:00,MHK VL,61756,38.12,1.25,-3.10
02/01/2023 04:00,MILLWD,61759,56.13,2.13,-20.24
02/01/2023 04:00,N.Y.C.,61761,56.13,2.23,-20.14
02/01/2023 04:00,NORTH,61755,34.00,0.24,0.00
02/01/2023 04:00,NPX,61845,77.49,1.99,-41.74
02/01/2023 04:00,O H,61846,32.25,-2.13,-0.61
02/01/2023 04:00,PJM,61847,33.76,-0.10,-0.10
02/01/2023 04:00,WEST,61752,32.98,-1.45,-0.67
02/01/2023 05:00,CAPITL,61757,68.31,3.01,-19.02
02/01/2023 05:00,CENTRL,61754,45.66,-1.11,-0.50
02/01/2023 05:00,DUNWOD,61760,62.59,2.68,-13.63
02/01/2023 05:00,GENESE,61753,44.18,-2.45,-0.35
02/01/2023 05:00,H Q,61844,46.32,0.05,0.00
02/01/2023 05:00,HUD VL,61758,62.25,2.50,-13.47
02/01/2023 05:00,LONGIL,61762,64.00,4.07,-13.65
