Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/24/2023 00:00,CAPITL,61757,27.30,1.07,-7.50
02/24/2023 00:00,CENTRL,61754,19.85,-0.09,-1.21
02/24/2023 00:00,DUNWOD,61760,25.59,1.44,-5.41
02/24/2023 00:00,GENESE,61753,18.47,-0.84,-0.58
02/24/2023 00:00,H Q,61844,18.49,-0.24,0.00
02/24/2023 00:00,HUD VL,61758,25.42,1.33,-5.36
02/24/2023 00:00,LONGIL,61762,37.54,1.89,-16.92
02/24/2023 00:00,MHK VL,61756,20.25,0.71,-0.80
02/24/2023 00:00,MILLWD,61759,25.59,1.39,-5.47
02/24/2023 00:00,N.Y.C.,61761,25.65,1.50,-5.42
02/24/2023 00:00,NORTH,61755,18.74,0.00,0.00
02/24/2023 00:00,NPX,61845,35.00,1.20,-15.06
02/24/2023 00:00,O H,61846,16.97,-1.48,0.29
02/24/2023 00:00,PJM,61847,21.62,0.15,-2.74
02/24/2023 00:00,WEST,61752,17.48,-0.86,0.40
02/24/2023 01:00,CAPITL,61757,26.89,1.00,-8.04
02/24/2023 01:00,CENTRL,61754,18.95,-0.14,-1.24
02/24/2023 01:00,DUNWOD,61760,24.98,1.32,-5.81
02/24/2023 01:00,GENESE,61753,17.87,-0.59,-0.61
02/24/2023 01:00,H Q,61844,17.62,-0.23,0.00
02/24/2023 01:00,HUD VL,61758,24.81,1.21,-5.75
02/24/2023 01:00,LONGIL,61762,34.18,1.75,-14.58
02/24/2023 01:00,MHK VL,61756,19.29,0.59,-0.86
02/24/2023 01:00,MILLWD,61759,25.00,1.29,-5.86
02/24/2023 01:00,N.Y.C.,61761,25.03,1.37,-5.81
02/24/2023 01:00,NORTH,61755,17.85,0.00,0.00
02/24/2023 01:00,NPX,61845,33.73,1.13,-14.76
02/24/2023 01:00,O H,61846,16.40,-1.25,0.20
02/24/2023 01:00,PJM,61847,20.80,-0.02,-2.97
02/24/2023 01:00,WEST,61752,16.49,-1.05,0.31
02/24/2023 02:00,CAPITL,61757,24.70,1.07,-4.77
02/24/2023 02:00,CENTRL,61754,19.55,-0.08,-0.77
02/24/2023 02:00,DUNWOD,61760,23.71,1.41,-3.44
02/24/2023 02:00,GENESE,61753,18.41,-0.81,-0.37
02/24/2023 02:00,H Q,61844,18.61,-0.25,0.00
02/24/2023 02:00,HUD VL,61758,23.56,1.30,-3.41
02/24/2023 02:00,LONGIL,61762,33.19,1.89,-12.45
02/24/2023 02:00,MHK VL,61756,20.05,0.68,-0.51
02/24/2023 02:00,MILLWD,61759,23.68,1.36,-3.46
02/24/2023 02:00,N.Y.C.,61761,23.75,1.45,-3.45
02/24/2023 02:00,NORTH,61755,18.82,-0.04,0.00
02/24/2023 02:00,NPX,61845,33.44,1.21,-13.38
02/24/2023 02:00,O H,61846,17.23,-1.43,0.19
02/24/2023 02:00,PJM,61847,20.75,0.15,-1.74
02/24/2023 02:00,WEST,61752,17.78,-0.81,0.26
02/24/2023 03:00,CAPITL,61757,25.25,1.00,-6.45
02/24/2023 03:00,CENTRL,61754,18.67,-0.12,-0.99
02/24/2023 03:00,DUNWOD,61760,23.78,1.32,-4.66
02/24/2023 03:00,GENESE,61753,17.72,-0.57,-0.49
02/24/2023 03:00,H Q,61844,17.57,-0.23,0.00
02/24/2023 03:00,HUD VL,61758,23.62,1.21,-4.61
02/24/2023 03:00,LONGIL,61762,28.41,1.76,-8.84
02/24/2023 03:00,MHK VL,61756,19.08,0.59,-0.70
02/24/2023 03:00,MILLWD,61759,23.77,1.28,-4.69
02/24/2023 03:00,N.Y.C.,61761,23.82,1.35,-4.66
02/24/2023 03:00,NORTH,61755,17.75,-0.05,0.00
02/24/2023 03:00,NPX,61845,34.88,1.12,-15.96
02/24/2023 03:00,O H,61846,16.42,-1.23,0.15
02/24/2023 03:00,PJM,61847,20.18,0.00,-2.38
02/24/2023 03:00,WEST,61752,16.53,-1.03,0.24
02/24/2023 04:00,CAPITL,61757,24.95,1.09,-4.67
02/24/2023 04:00,CENTRL,61754,19.77,-0.13,-0.71
02/24/2023 04:00,DUNWOD,61760,23.94,1.38,-3.37
02/24/2023 04:00,GENESE,61753,18.95,-0.60,-0.36
02/24/2023 04:00,H Q,61844,18.94,-0.25,0.00
02/24/2023 04:00,HUD VL,61758,23.81,1.29,-3.34
02/24/2023 04:00,LONGIL,61762,34.37,1.88,-13.30
02/24/2023 04:00,MHK VL,61756,20.29,0.60,-0.50
02/24/2023 04:00,MILLWD,61759,23.93,1.34,-3.39
02/24/2023 04:00,N.Y.C.,61761,23.98,1.42,-3.38
02/24/2023 04:00,NORTH,61755,19.15,-0.04,0.00
02/24/2023 04:00,NPX,61845,35.52,1.19,-15.14
02/24/2023 04:00,O H,61846,17.76,-1.32,0.10
02/24/2023 04:00,PJM,61847,20.86,-0.06,-1.73
02/24/2023 04:00,WEST,61752,17.86,-1.17,0.16
02/24/2023 05:00,CAPITL,61757,25.36,1.38,-0.59
02/24/2023 05:00,CENTRL,61754,23.39,-0.07,-0.08
02/24/2023 05:00,DUNWOD,61760,25.50,1.68,-0.43
02/24/2023 05:00,GENESE,61753,22.80,-0.63,-0.05
02/24/2023 05:00,H Q,61844,23.04,-0.35,0.00
02/24/2023 05:00,HUD VL,61758,25.38,1.57,-0.42
02/24/2023 05:00,LONGIL,61762,36.16,2.27,-10.51
02/24/2023 05:00,MHK VL,61756,24.22,0.77,-0.06
02/24/2023 05:00,MILLWD,61759,25.41,1.59,-0.43
02/24/2023 05:00,N.Y.C.,61761,25.50,1.68,-0.43
02/24/2023 05:00,NORTH,61755,23.18,-0.21,0.00
02/24/2023 05:00,NPX,61845,35.83,1.45,-10.99
02/24/2023 05:00,O H,61846,21.88,-1.52,-0.02
02/24/2023 05:00,PJM,61847,23.59,-0.02,-0.23
02/24/2023 05:00,WEST,61752,22.00,-1.40,-0.02
02/24/2023 06:00,CAPITL,61757,32.55,1.93,0.00
02/24/2023 06:00,CENTRL,61754,32.68,0.22,-1.85
02/24/2023 06:00,DUNWOD,61760,32.73,2.11,0.00
02/24/2023 06:00,GENESE,61753,29.76,-0.89,-0.02
02/24/2023 06:00,H Q,61844,30.10,-0.52,0.00
02/24/2023 06:00,HUD VL,61758,32.71,2.08,0.00
02/24/2023 06:00,LONGIL,61762,46.75,2.94,-13.18
02/24/2023 06:00,MHK VL,61756,31.97,1.35,0.00
02/24/2023 06:00,MILLWD,61759,32.67,2.05,0.00
02/24/2023 06:00,N.Y.C.,61761,32.61,1.99,0.00
02/24/2023 06:00,NORTH,61755,30.29,-0.34,0.00
02/24/2023 06:00,NPX,61845,43.25,1.84,-10.79
02/24/2023 06:00,O H,61846,24.60,-2.05,3.97
02/24/2023 06:00,PJM,61847,29.72,0.27,1.18
02/24/2023 06:00,WEST,61752,25.01,-1.04,4.57
02/24/2023 07:00,CAPITL,61757,37.63,2.20,0.00
02/24/2023 07:00,CENTRL,61754,38.48,-0.11,-3.15
02/24/2023 07:00,DUNWOD,61760,38.06,2.62,0.00
02/24/2023 07:00,GENESE,61753,34.13,-1.35,-0.04
02/24/2023 07:00,H Q,61844,34.97,-0.46,0.00
02/24/2023 07:00,HUD VL,61758,37.99,2.55,0.00
02/24/2023 07:00,LONGIL,61762,52.55,3.58,-13.53
02/24/2023 07:00,MHK VL,61756,37.07,1.63,0.00
02/24/2023 07:00,MILLWD,61759,37.99,2.55,0.00
02/24/2023 07:00,N.Y.C.,61761,37.99,2.55,0.00
02/24/2023 07:00,NORTH,61755,35.29,-0.14,0.00
02/24/2023 07:00,NPX,61845,53.35,2.16,-15.75
02/24/2023 07:00,O H,61846,25.86,-2.80,6.78
02/24/2023 07:00,PJM,61847,33.57,0.14,2.01
02/24/2023 07:00,WEST,61752,26.08,-1.56,7.79
02/24/2023 08:00,CAPITL,61757,38.65,2.46,0.00
02/24/2023 08:00,CENTRL,61754,39.33,-0.07,-3.22
02/24/2023 08:00,DUNWOD,61760,39.15,2.97,0.00
02/24/2023 08:00,GENESE,61753,34.74,-1.49,-0.04
02/24/2023 08:00,H Q,61844,35.57,-0.62,0.00
02/24/2023 08:00,HUD VL,61758,39.01,2.82,0.00
02/24/2023 08:00,LONGIL,61762,46.96,3.98,-6.80
02/24/2023 08:00,MHK VL,61756,37.89,1.70,0.00
02/24/2023 08:00,MILLWD,61759,39.08,2.90,0.00
02/24/2023 08:00,N.Y.C.,61761,39.15,2.97,0.00
02/24/2023 08:00,NORTH,61755,35.68,-0.51,0.00
02/24/2023 08:00,NPX,61845,47.30,2.42,-8.69
02/24/2023 08:00,O H,61846,26.30,-2.97,6.92
02/24/2023 08:00,PJM,61847,34.26,0.29,2.21
02/24/2023 08:00,WEST,61752,26.56,-1.66,7.96
02/24/2023 09:00,CAPITL,61757,45.60,1.90,-17.33
02/24/2023 09:00,CENTRL,61754,29.34,0.19,-2.79
02/24/2023 09:00,DUNWOD,61760,41.13,2.27,-12.50
02/24/2023 09:00,GENESE,61753,27.25,-0.55,-1.44
02/24/2023 09:00,H Q,61844,25.71,-0.66,0.00
02/24/2023 09:00,HUD VL,61758,40.84,2.08,-12.39
02/24/2023 09:00,LONGIL,61762,45.63,2.98,-16.29
02/24/2023 09:00,MHK VL,61756,29.44,1.29,-1.78
02/24/2023 09:00,MILLWD,61759,41.13,2.19,-12.58
02/24/2023 09:00,N.Y.C.,61761,41.11,2.24,-12.51
02/24/2023 09:00,NORTH,61755,25.42,-0.95,0.00
02/24/2023 09:00,NPX,61845,43.00,1.85,-14.79
02/24/2023 09:00,O H,61846,24.23,-1.69,0.45
02/24/2023 09:00,PJM,61847,33.10,0.34,-6.40
02/24/2023 09:00,WEST,61752,24.77,-0.95,0.65
02/24/2023 10:00,CAPITL,61757,105.99,1.70,-80.41
02/24/2023 10:00,CENTRL,61754,33.12,0.19,-9.05
02/24/2023 10:00,DUNWOD,61760,64.67,1.72,-39.07
02/24/2023 10:00,GENESE,61753,28.00,-0.60,-4.72
02/24/2023 10:00,H Q,61844,23.36,-0.53,0.00
02/24/2023 10:00,HUD VL,61758,65.01,1.62,-39.50
02/24/2023 10:00,LONGIL,61762,87.65,2.29,-61.48
02/24/2023 10:00,MHK VL,61756,34.80,1.12,-9.80
